"Titel";"ISBN";"Verfasser";"PPN";"Jahr"
"¬Die¬ Vielfalt orchestrieren : Steuerungsaufgaben der zentralen Instanz bei grösserer Selbständigkeit der Einzelschulen ; Beiträge des OECD-CERI-Regionalseminars für deutschsprachige Länder in Rheinfelden (Schweiz) vom 18. - 22. Oktober 1999";"370651480X";"[hrsg. von der Schweizer Konferenz der Kantonalen Erziehungsdirektoren (Schweiz) ...]";"312102682";"2000";
"Schule im Spiegel der Pädagogik Paulo Freires";"393412903X";"Joachim Dabisch";"1610912128";"2000";
"¬Ein¬ E-Mail-Projekt zur Landeskunde USA : schriftliche Hausarbeit im Fach Erziehungswissenschaften im Rahmen der Zweiten Staatsprüfung für das Lehramt an öffentlichen Schulen (Sekundarstufe II)";"393286042X";"Nadja Nicole Kahle. Landesinstitut für Schule";"314696180";"2000";
"Lebenswelt Tiere an Land, im Wasser und in der Luft : Materialien für den Sachunterricht";"3780020130";"[Red.: Barbara Dulitz ...]";"1610953045";"2000";
"Kreativer Kunstunterricht in der Grundschule : Arbeiten mit Farben";"3403030733";"Manfred Kiesel";"84294642X";"2000";
"¬Der¬ Teich - im fächerübergreifenden Unterricht : Materialien für offene Unterrichtsformen";"314163002X";"Christine Groß ...";"323633595";"2000";
"Spiele, die verbinden : Offenheit und Vertrauen in der Anfangsphase. - 1. 1. Aufl";"3-89403-331-2";"";"1155638506";"2000";
"Spiele, die verbinden : Offenheit und Vertrauen in der Anfangsphase. - 2. 1. Aufl";"3-89403-332-0";"";"1155638549";"2000";
"Herkunftssprache - Zielsprache : eine Handreichung für den Unterricht in multikulturellen Klassen";"3706514605";"Karl Rieder";"314712127";"2000";
"Kochen in der Schulküche für Anfänger : Grundwissen und Rezepte; Kopiervorlagen";"3403024970";"Arbeitsgemeinschaft Hauswirtschaft. [Helena Arzberger ... Red.: Maria Lasch]";"1611289521";"2000";
"¬The¬ English question";"0716360020";"ed. by Selina Chen and Tony Wright; Robert Hazell ... Fabian Society, London";"317392514";"2000";
"Gesunder Rücken ohne Krücken : handlungsorientierte Unterrichtseinheiten für wirbelsäulengerechtes Schul- und Alltagsverhalten in den Jahrgangsstufen 1-6 ; mit Kopiervorlagen";"3403030938";"Christine Angerer-Kraus; Michaela Hieber. Gezeichnet von Iris Mielke und Fritz Klieber";"311810349";"2000";
"Aktuelle Kompetenz von Lehramtsstudierenden zu offenen Lern- und Organisationsformen : Aufbau von fachlichem und heuristischem Selbstvertrauen am Beispiel des Wochenplanunterrichts im Rahmen eines Theorie-Praxis-Modells";"3932492315";"Edith Kleber";"315900008";"2000";
"¬Die¬ Dramaturgie reflexiven Lernens : und die themenzentrierte Interaktion";"3877180973";"Hansjörg Neubert";"1611509939";"2000";
"Stadtkinder und Naturerleben : Waldpädagogik als Chance";"382888153X";"von Tabea Schwegler-Beisheim";"315899085";"2000";
"Spüren - Bewegen - Lernen : Handbuch der mehrdimensionalen Förderung bei kindlichen Entwicklungsstörungen";"3861451913";"Petra Zinke-Wolter";"315200103";"2000";
"music-and-sound.de : Musik im Internet";"3894382023";"Torsten Eßer";"316855367";"2000";
"Englischspiele für die Grundschule";"3486987054";"Almuth Bartl";"1156333253";"2000";
"Selbstwert stärken - Gesundheit fördern : Unterrichtsvorschläge für das ... Schuljahr. - 1/2. Unterrichtsvorschläge für das 1. und 2. Schuljahr";"3-403-03390-2";"";"115644232X";"2000";
"Hochbegabung : eine Chance";"3850765059";"Österreichischer Verein für Hochbegabte Kinder. Roswitha Bergsmann (Hg.)";"314728384";"2000";
"¬Der¬ Überzeugungseffekt im logischen Denken Jugendlicher";"3897831635";"Albert Ziegler";"316271535";"2000";
"Langenscheidt Verb-Tabellen Deutsch";"9783468341113";"Konzeption von Heinz F. Wendt, bearb. von Maria Thurmair";"1612460674";"2000";
"Partner für eine bewegte Kindheit : Workshop am 18./19. September 1998 in Münster/Westfalen";"3791102303";"Lorenz Peiffer ... (Hrsg.)";"311166865";"2000";
