Titel	Werktitel	Verfasser	Verlag	Verlagsort	Erscheinungsjahr	Erscheinungstermin	ISBN	Auflage	Preis	Seiten	Maß	Begleitmaterial	Reihe	Fußnote	Parallele Ausgabe	Hochschulschriftenvermerk	Datenträger	Wochenverzeichnisnummer	DDC-Sachgruppe	Schlagworte	Vollständige DDC-Notation	Inhaltsverzeichnis	Inhaltstext	Links	Desiderat
The spirit of God : Biblical pneumatology in its religious-historical context	Gottes Geist	Reinhard Feldmeier ; English translation by T.R. Niles	Brill Schöningh	Paderborn	2022	-	9783506760142; 3506760149	-	(Festeinband : EUR 99.00 (DE), EUR 101.80 (AT))	XI, 141 Seiten	24 cm, 439 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A12; 21,N19	230; 220; 100	Bibel; Heiliger Geist; Antike; Philosophie; Judentum; Rezeption; Pneumatologie	231.3	https://d-nb.info/1232742082/04	http://deposit.dnb.de/cgi-bin/dokserv?id=650fafa7fc714766a2e1b7999e365f9f&prov=M&dok_var=1&dok_ext=htm	-	-
Reichtum und Reich Gottes : Struktur, Komposition und Intention von Lukas 16	-	Johannes Kirfel	Kohlhammer	Stuttgart	2022	-	9783170410589; 317041058X	1. Auflage	(Broschur : circa EUR 79.00 (DE))	435 Seiten	24 cm, 726 g	-	Beiträge zur Wissenschaft vom Alten und Neuen Testament ; Band 233	-	Erscheint auch als: Online-Ausgabe	Dissertation; Universität Duisburg-Essen2020	Band	22,A12; 21,N16	220	Bibel; Exegese	226.406	https://d-nb.info/1231571039/04	-	-	-
Die Bibel und die Frauen : Biblische Frauenfiguren in der Spätantike	-	Agnethe Siquans, Markus Vinzent (Hrsg.) ; Autor*innen Hellen Dayton [und viele Weitere]	Kohlhammer	Stuttgart	2022	-	9783170374447; 3170374443	1. Auflage	(Broschur : circa EUR 69.00 (DE))	373 Seiten	24 cm, 558 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A12; 20,N50	230; 220	Biblische Person; Frau; Rezeption; Frühchristentum; Literatur	270.2082	https://d-nb.info/1222540533/04	-	-	-
Die bewunderte und versteckte Bibel, über den Koran	-	Klaus Maull	Verlag Mainz	Aachen	2021	-	9783810702401	1. Auflage	(Broschur)	92 Seiten	21 cm	-	-	-	-	-	Band	22,A12	290; 220	Koran; Rezeption; Bibel; Islam; Religionskritik	297.122	https://d-nb.info/1247128598/04	-	-	-
Gegenwärtige Wahrheit im 5. Buch Mose (Deuteronomium)	Present truth on Deuteronomy	Autor: Clifford R. Goldstein ; Übersetzung: Angelika Uhlmann	Freikirche der Siebenten-Tags Adventisten; Advent-Verlag Lüneburg	Bern (Schweiz); Lüneburg (Deutschland)	2021	-	-	[Großdruckausgabe]	-	168 Seiten	30 cm	-	Studienanleitung Standardausgabe ; 2021, Oktober/November/Dezember	-	-	-	Band	22,A12	220; 230	Bibel; Bibelarbeit; Gemeinschaft der Siebenten-Tags-Adventisten	222.150071	https://d-nb.info/124203577X/04	-	-	-
Das Lukanische Geschichtswerk : Kommentar	-	-	Patrimonium-Verlag	Aachen	2021	-	9783864171673	1. Auflage	(Broschur)	546 Seiten	22 cm	-	-	-	-	-	Band	22,A12; 21,N28	220	-	-	https://d-nb.info/123681522X/04	-	-	-
Nach dem Paradies : Entdeckungen in Bildern	-	herausgegeben von Bettina Knauer und Birgit Hübner in einer Kooperation des Kulturforum21 der Schulen im Erzbistum Hamburg und der Deichtorhallen Hamburg ; Fotografien: André Lützen ; Texte und Redaktion: Dr. Bettina Knauer, Nora Luttmer	Ellert & Richter Verlag	Hamburg	2021	-	9783831907977; 3831907978	1. Auflage	(Festeinband : EUR 20.00 (DE), EUR 20.60 (AT))	152 Seiten	31 cm	-	-	-	-	-	Band	22,A12; 21,N23	220; 770; 370	Warburg, Aby Moritz; Bibel; Szenische Interpretation; Kind; Fotografie; Projekt; Museumspädagogik	220.0712	https://d-nb.info/1234673177/04	-	-	-
Wer kommt heut Nacht in unser Haus? : eine Weihnachtsgeschichte	-	Illustrationen: Dorothea Ackroyd	arsEdition	München	2021	-	9783845845098; 3845845090	-	(Festeinband : EUR 8.99 (DE), EUR 9.30 (AT), CHF 13.50 (freier Preis))	26 ungezählte Seiten	16 cm, 334 g	-	-	-	-	-	Band	22,A12; 21,N11	K; 220	-	-	-	http://deposit.dnb.de/cgi-bin/dokserv?id=c274882c6efc407fbae73fa3fc815db0&prov=M&dok_var=1&dok_ext=htm	-	-
Das Lukanische Geschichtswerk	-	Karl Jaroš	Patrimonium-Verlag	Aachen	2020	-	-	-	-	2 Bände	22 cm	-	-	-	-	-	Band	22,A12	220	Bibel	226.407	-	-	-	-
Die Bibel und die Frauen : eine exegetisch-kulturgeschichtliche Enzyklopädie	-	herausgegeben von Irmtraud Fischer, Christiana de Groot, Mercedes Navarro Puerto, Adriana Valerio	Verlag W. Kohlhammer	Stuttgart	2010	-	-	-	-	-	24 cm	-	-	Ab 2019 herausgegeben von Irmtraud Fischer, Mercedes Navarro Puerto, Adriana Valerio; Ab 2021 herausgegeben von Irmtraud Fischer, Mercedes Navarro Puerto, Adriana Valerio, Mary Ann Beavis	-	-	Band	22,A12	220; 300	Bibel; Frau; Geschlechterrolle; Feministische Exegese; Aufsatzsammlung	220.6082	-	-	-	-
Ein Osservatore Romano für die Evangelische Kirche in Deutschland : der Konzilsbeobachter Edmund Schlink im Spannungsfeld der Interessen	-	von Margarethe Hopf	Vandenhoeck & Ruprecht	Göttingen	2022	-	9783525570777; 3525570775	-	(Festeinband : circa EUR 80.00 (DE), circa EUR 83.00 (AT))	425 Seiten	24 cm, 838 g	-	Veröffentlichungen des Instituts für Europäische Geschichte Mainz ; Band 254. Abteilung für Abendländische Religionsgeschichte	-	Erscheint auch als: Online-Ausgabe	Habilitationsschrift; Rheinische Friedrich-Wilhelms-Universität Bonn2015	Band	22,A12; 18,N18	230	Schlink, Edmund; Vatikanisches Konzil; Berichterstattung; Evangelische Kirche in Deutschland	230.044092	https://d-nb.info/1156668247/04	http://deposit.dnb.de/cgi-bin/dokserv?id=704a35c86bb8462a90e53c150838e160&prov=M&dok_var=1&dok_ext=htm; http://deposit.dnb.de/cgi-bin/dokserv?id=704a35c86bb8462a90e53c150838e160&prov=M&dok_var=2&dok_ext=htm	-	-
Und Gott gab uns sein Wort : Einführung in die Wort-Gottes-Feier	-	Gunda Brüske	Verlag Friedrich Pustet	Regensburg	2022	-	9783791733210; 3791733214	-	(Broschur : circa EUR 14.95 (DE), circa EUR 15.40 (AT))	164 Seiten	21 cm	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A12; 21,N50	230	Wortgottesdienst; Liturgie; Katholische Kirche	264.02	https://d-nb.info/1247293866/04	http://deposit.dnb.de/cgi-bin/dokserv?id=1c1923db012e44aab6f39fa216eb9031&prov=M&dok_var=1&dok_ext=htm	-	-
Der große Betrug und was Jesus wirklich sagte und tat	-	Gerd Lüdemann	zu Klampen	Springe	2022	-	9783866748286; 3866748280	Sechste Auflage	(Broschur : EUR 16.00 (DE), EUR 16.50 (AT), CHF 31.20 (freier Preis))	125 Seiten	19 cm, 129 g	-	-	-	-	-	Band	22,A12; 21,N50	230; 220	Jesus Christus; Geschichtlichkeit; Bibel; Historische Kritik	232.908	https://d-nb.info/1247194728/04	http://www.zuklampen.de/buecher/sachbuch-c-14/religion-c-16/der-grosse-betrugund-was-jesus-wirklich-sagte-und-tat-p-1181569481.html	-	-
Ein Himmel voller Segen : wahre Geschichten vom Segnen und Gesegnetwerden	-	Simone Heintze & Julia Fiedler (Hg.)	Gerth Medien	Asslar	2022	-	9783957348258; 3957348250	1. Auflage	(Festeinband : EUR 15.00 (DE), EUR 15.50 (AT), CHF 23.10 (freier Preis))	175 Seiten	19 cm, 521 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A12; 21,N49	230	-	-	https://d-nb.info/1246924323/04	http://deposit.dnb.de/cgi-bin/dokserv?id=598ed21633fc41968a305c652a52a5b3&prov=M&dok_var=1&dok_ext=htm	-	-
Ich glaube, wir feiern, das Leben! : 40 starke Impulse	-	Chris Pahl, Karsten Hüttmann (Hg.)	GerthMedien	Asslar	2022	-	9783957348357; 3957348358	1. Auflage	(Broschur : EUR 15.00 (DE), EUR 15.50 (AT), CHF 23.10 (freier Preis))	186 Seiten	22 cm, 283 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A12; 21,N49	K; 230	-	-	https://d-nb.info/1246924005/04	http://deposit.dnb.de/cgi-bin/dokserv?id=4d49e4ca86524b5c9e8cf807a87f94b0&prov=M&dok_var=1&dok_ext=htm	-	-
Meer für dich : das kleine Buch von Wellen, Wind und Weite	Meer für dich	Sigrid Offermann (Hg.)	Gerth Medien	Aßlar	2022	-	9783957348388; 3957348382	1. Auflage	(Festeinband : EUR 12.00 (DE), EUR 12.40 (AT), CHF 18.50 (freier Preis))	172 Seiten	19 cm, 283 g	-	-	-	-	-	Band	22,A12; 21,N49	230	Meer; Gotteserfahrung	248.2	https://d-nb.info/1246923254/04	http://deposit.dnb.de/cgi-bin/dokserv?id=2e1d1f522d6040c1aeb6901f00ff96d1&prov=M&dok_var=1&dok_ext=htm	-	-
AlltagsSegen : 101 Impulse für ein erfülltes Leben	Life lists for mothers	Übersetzung und Lektorat: Nicole Schol	Gerth Medien	Aßlar	2022	-	9783957348173; 395734817X	1. Auflage	(Festeinband : EUR 15.00 (DE), EUR 15.50 (AT), CHF 23.10 (freier Preis))	207 Seiten	19 cm, 521 g	-	-	-	-	-	Band	22,A12; 21,N49	230	-	-	https://d-nb.info/1246922916/04	http://deposit.dnb.de/cgi-bin/dokserv?id=2019e150ba76402e8143ecf8b991a511&prov=M&dok_var=1&dok_ext=htm	-	-
Leben in seiner Gegenwart : Inspirationen für Begegnungen mit Gott : Journal	Life in his presence	Sarah Young ; aus dem Englischen von Silvia Lutz und Nicole Schol	Gerth Medien	Asslar	2022	-	9783957347954; 3957347955	1. Auflage	(Festeinband : EUR 18.00 (DE), EUR 18.50 (AT), CHF 27.70 (freier Preis))	224 Seiten	22 cm, 521 g	-	-	-	-	-	Band	22,A12; 21,N47	230; 220	Bibel; Meditation	242.5	-	http://deposit.dnb.de/cgi-bin/dokserv?id=cc0a0e56a77846b9b31f1e4433f7a6de&prov=M&dok_var=1&dok_ext=htm	-	-
Erfüllt älter werden an Gottes Seite	-	Wolfgang Kraska	SCM Hänssler	Holzgerlingen	2022	-	9783775160674; 3775160671	-	(Broschur : EUR 17.99 (DE), EUR 18.50 (AT), CHF 27.70 (freier Preis))	222 Seiten	22 cm, 327 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A12; 21,N46	230; 300	Altern; Alter; Christentum	248.85	https://d-nb.info/1245470728/04	-	-	-
Du bist schön : entdecke deine Einzigartigkeit	-	Birgit Gottwald	SCM Hänssler	Holzgerlingen	2022	-	9783775161374; 3775161376	-	(Festeinband : EUR 17.99 (DE), EUR 18.50 (AT), CHF 27.70 (freier Preis))	201 Seiten	22 cm, 471 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A12; 21,N46	230; 150	Schönheit; Christin; Lebensführung	248.843	https://d-nb.info/124547071X/04	-	-	-
Mündig! : lebendiges Christsein voller Klarheit	-	Michael Herbst, Felix Eiffler	SCM Hänssler	Holzgerlingen	2022	-	9783775161565; 3775161562	-	(Festeinband : EUR 18.99 (DE), EUR 19.60 (AT), CHF 29.20 (freier Preis))	250 Seiten	22 cm, 443 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A12; 21,N46	230	Christ; Lebensführung	248.4	https://d-nb.info/1245469339/04	-	-	-
99 Ideen fürs Beten	-	Ulrich Wendel	SCM	Holzgerlingen	2022	-	9783789398810; 3789398810	-	(Festeinband : EUR 9.99 (DE), EUR 10.30 (AT), CHF 15.40 (freier Preis))	94 Seiten	18 cm, 172 g	-	-	-	-	-	Band	22,A12; 21,N45	230	Gebet	248.32	-	-	-	-
Herzlichen Glückwunsch zum Geburtstag	-	Margot Käßmann	bene!	München	2022	-	9783963401282; 3963401281	Originalausgabe	(Festeinband : EUR 10.00 (DE), EUR 10.30 (AT))	circa 42 Seiten	18 x 18 cm, 227 g	-	-	-	-	-	Band	22,A12; 21,N45	230	-	-	-	http://deposit.dnb.de/cgi-bin/dokserv?id=825a9bcea55d417682d8561835d4d16b&prov=M&dok_var=1&dok_ext=htm	-	-
Mein Fastentagebuch	-	Anselm Grün	Vier-Türme-Verlag	Schwarzach	2022	-	9783736504271; 3736504276	1. Auflage	(Festeinband : EUR 14.00 (DE), EUR 14.40 (AT), CHF 20.90 (freier Preis))	circa 128 Seiten	19 cm	-	-	-	-	-	Band	22,A12; 21,N44	230	Fasten	248.47	-	-	-	-
Was mich trägt : Impulse für pflegende Angehörige	-	Beate Wagner	Agentur des Rauhen Hauses Hamburg	[Norderstedt]	2022	-	9783760084701; 3760084702	-	(Broschur : EUR 2.89 (DE), EUR 3.00 (AT))	24 Seiten	21 cm	-	LebensWelten	-	-	-	Band	22,A12; 21,N44	230	-	-	-	-	-	-
Dorothee Sölle - eine intellektuelle Biographie	-	Edwin Stößinger	Verlag Dr. Kovač	Hamburg	2022	-	9783339127563; 3339127565	-	(Broschur : EUR 149.80 (DE), EUR 154.00 (AT))	595 Seiten	21 cm, 766 g	-	Schriftenreihe Studien zur Kirchengeschichte ; Band  35	-	-	Dissertation; Johann Wolfgang Goethe-Universität zu Frankfurt am Main2021	Band	22,A12; 21,N44	230	Sölle, Dorothee	230.044092	https://d-nb.info/1244424900/04	https://www.verlagdrkovac.de/978-3-339-12756-3.htm	-	-
Siehe, ich mache alles neu : Schöpfung im Neuen Testament	-	Hans-Georg Gradl	Herder	Freiburg; Basel; Wien	2022	-	9783451391804; 3451391805	-	(Festeinband : EUR 18.00 (DE), EUR 18.60 (AT), CHF 25.90 (freier Preis))	141 Seiten	21 cm, 248 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A12; 21,N42	220; 230	Bibel; Schöpfung	225.04; 231.765	https://d-nb.info/124301007X/04	http://deposit.dnb.de/cgi-bin/dokserv?id=ab3d76697c5244b4bd0ccd3b7e8be9b9&prov=M&dok_var=1&dok_ext=htm	-	-
Gute Nacht liebe Welt	Goodnight world	Rebecca Parkinson ; illustriert von Patrick Corrigan	Verlag Herder	Freiburg; Basel; Wien	2022	-	9783451716447; 3451716445	-	(Festeinband : EUR 15.00 (DE), EUR 15.50 (AT), CHF 21.90 (freier Preis))	32 ungezählte Seiten	26 cm, 466 g	-	-	-	-	-	Band	22,A12; 21,N42	K; 230	-	-	-	http://deposit.dnb.de/cgi-bin/dokserv?id=804cd7f9914d4870a6e381550cec7fe9&prov=M&dok_var=1&dok_ext=htm	-	-
Das glaub ich! Was glaubst du? : ein Inspirations- und Eintragebuch zum Glauben	-	herausgegeben von Dr. Anton Magnus Dorn (Kommunikator; Ehrenvorsitzender von TOP: Talente e.V.; Kempten/Allgäu), Ulrich Fischer (Leiter der Arbeitsstelle Katholische Hörfunk- und Fernseharbeit der Deutschen Bischofskonferenz, Bonn) ; Illustrationen von Christoph Mett	Herder	Freiburg; Basel; Wien	2022	-	9783451716256; 3451716259	-	(Festeinband : EUR 12.00 (DE), EUR 12.40 (AT), CHF 17.90 (freier Preis))	93 Seiten	20 cm, 347 g	-	-	-	-	-	Band	22,A12; 21,N42	K; 230	-	-	https://d-nb.info/124300861X/04	http://deposit.dnb.de/cgi-bin/dokserv?id=60926e6cadde46e8b44cbc0d0a751e1c&prov=M&dok_var=1&dok_ext=htm	-	-
Die Ostergeschichte	Die Ostergeschichte	erzählt von Anselm Grün ; mit Bildern von Giuliano Ferri	Herder	Freiburg; Basel; Wien	2022	-	9783451713910; 3451713918	Neuausgabe	(Festeinband : EUR 15.00 (DE), EUR 15.50 (AT), CHF 21.90 (freier Preis))	32 ungezählte Seiten	29 cm, 408 g	-	-	-	Erscheint auch als: Druck-Ausgabe; Erscheint auch als	-	Band	22,A12; 21,N42	K; 230	-	-	-	http://deposit.dnb.de/cgi-bin/dokserv?id=0df24d2f65d84d1eac4dc2aa43141094&prov=M&dok_var=1&dok_ext=htm	-	-
Wie Christen und Muslime miteinander leben können : 77 Fragen und Antworten	-	Reinhard Hempelmann, Gerhard Duncker	Evangelische Verlagsanstalt	Leipzig	2022	-	9783374070398; 3374070396	-	(Broschur : EUR 15.00 (DE), EUR 15.50 (AT))	109 Seiten	19 cm	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A12; 21,N41	230; 290	Muslim; Christ; Interkulturelles Verstehen; Religiöse Toleranz; Interreligiöser Dialog; Islam; Christentum; Evangelische Kirche in Deutschland	261.27	https://d-nb.info/1242812911/04	-	-	-
Ein Fürstenleben zwischen Alltag und Aufruhr : die französische Korrespondenz (1772-1801) des letzten Salzburger Fürsterzbischofs Hieronymus Colloredo mit seinem Bruder Gundaker : eine historisch-kritische Edition	-	Elisabeth Lobenwein	Böhlau Verlag	Wien; Köln	2022	-	9783205214625; 3205214625	-	(Festeinband : EUR 150.00 (DE), EUR 155.00 (AT))	1198 Seiten	25 cm	-	Veröffentlichungen der Kommission für Neuere Geschichte Österreichs ; Band 121	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A12; 21,N24	940; 230	Hieronymus; Colloredo-Mannsfeld, Franz de Paula Gundaker von	943.632032092	https://d-nb.info/1235086682/04	-	-	-
The spirit of God : Biblical pneumatology in its religious-historical context	Gottes Geist	Reinhard Feldmeier ; English translation by T.R. Niles	Brill Schöningh	Paderborn	2022	-	9783506760142; 3506760149	-	(Festeinband : EUR 99.00 (DE), EUR 101.80 (AT))	XI, 141 Seiten	24 cm, 439 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A12; 21,N19	230; 220; 100	Bibel; Heiliger Geist; Antike; Philosophie; Judentum; Rezeption; Pneumatologie	231.3	https://d-nb.info/1232742082/04	http://deposit.dnb.de/cgi-bin/dokserv?id=650fafa7fc714766a2e1b7999e365f9f&prov=M&dok_var=1&dok_ext=htm	-	-
Die Bibel und die Frauen : Biblische Frauenfiguren in der Spätantike	-	Agnethe Siquans, Markus Vinzent (Hrsg.) ; Autor*innen Hellen Dayton [und viele Weitere]	Kohlhammer	Stuttgart	2022	-	9783170374447; 3170374443	1. Auflage	(Broschur : circa EUR 69.00 (DE))	373 Seiten	24 cm, 558 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A12; 20,N50	230; 220	Biblische Person; Frau; Rezeption; Frühchristentum; Literatur	270.2082	https://d-nb.info/1222540533/04	-	-	-
Verhandlungen der 13. Landessynode der Evangelischen Kirche der Pfalz (Protestantische Landeskirche) im Jahre 2021 : konstituierende Tagung vom 8. bis 10. Juli 2021 als Videokonferenz	-	herausgegeben vom Landeskirchenrat der Evangelischen Kirche der Pfalz (Protestantische Landeskirche)	Verlagshaus Speyer GmbH	[Speyer]	2021	-	-	-	-	187 Seiten, Seite A 1-A 98	21 cm	-	-	-	-	-	Band	22,A12	230	-	-	https://d-nb.info/1251514871/04	-	-	-
