Titel	Werktitel	Verfasser	Verlag	Verlagsort	Erscheinungsjahr	Erscheinungstermin	ISBN	Auflage	Preis	Seiten	Maß	Begleitmaterial	Reihe	Fußnote	Parallele Ausgabe	Hochschulschriftenvermerk	Datenträger	Wochenverzeichnisnummer	DDC-Sachgruppe	Schlagworte	Vollständige DDC-Notation	Inhaltsverzeichnis	Inhaltstext	Links	Desiderat
Épicure	Epikur	Walter F. Otto ; traduit de l'allemand par Laurent Ferec	Éditions Allia	Paris	2021	-	9791030412888	-	(Broschur)	99 Seiten	17 cm	-	-	-	-	-	Band	22,A12	100; 200	Epicurus; Philosophie; Götter	187	-	-	-	-
Worte der Engel an uns Menschen über die Liebe, über die Kraft der Liebe, über die Macht der Liebe und über die Schönheit der Liebe	-	-	Mein Buch	Zug	2021	-	9783038770695; 3038770698	-	(Festeinband : EUR 31.80 (DE), EUR 32.70 (AT), CHF 37.50 (freier Preis))	411 Seiten	22 cm	-	-	-	-	-	Band	22,A12; 21,N39	130; 200	-	-	https://d-nb.info/1241837511/04	-	-	-
Schamanische Ahnenarbeit : geführte Reisen mit Trommelbegleitung : so schließen wir Frieden mit unseren Vorfahren und empfangen ihre wegweisenden Gaben	Schamanische Ahnenarbeit(Erfahrungsreisen)	Bianka Maria Seidl	Mankau	Murnau a. Staffelsee	2021	-	9783863746476; 3863746473	-	EUR 14.95 (DE) (freier Preis), EUR 14.95 (AT) (freier Preis)	1 CD	96 g	1 Booklet (8 ungezählte Seiten)	-	-	-	-	Audiodisk	22,A12; 21,N38	200	-	-	-	http://deposit.dnb.de/cgi-bin/dokserv?id=00c2392e0d2846cca6a1fdae09868579&prov=M&dok_var=1&dok_ext=htm	-	-
Lachen - ein Inkognito von Religion : Befreiung zur Wirklichkeit	-	William J. Hoye	Springer VS	Wiesbaden, Germany	2021	-	9783658345075; 3658345071	-	(Festeinband : circa EUR 54.99 (DE), circa EUR 56.53 (AT), circa CHF 61.00 (freier Preis), circa EUR 51.39)	173 Seiten	22 cm, 364 g	-	Das Bild vom Menschen und die Ordnung der Gesellschaft	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A12; 21,N21	230; 200; 800	Lachen; Christentum; Christliche Literatur; Religionsphilosophie	230.01; 210; 809.933823	https://d-nb.info/1233702203/04	http://deposit.dnb.de/cgi-bin/dokserv?id=64c7d6de846043a4bebcc60f2e2de281&prov=M&dok_var=1&dok_ext=htm	-	-
Treffe Deinen Schutzengel : geführte Meditation	-	empfangen von Meister Konfuzius & gesprochen von Ute Kretzschmar	ANTAR-VERLAG	[Müllheim]	2021	-	9783948034139; 3948034133	-	EUR 13.90 (DE) (freier Preis), EUR 14.10 (AT) (freier Preis), circa CHF 15.00 (freier Preis)	1 CD	90 g	-	-	-	-	-	Audiodisk	22,A12; 21,N19	200; 130	-	-	-	-	-	-
Worte der Engel an uns Menschen über die Liebe, über die Kraft der Liebe, über die Macht der Liebe und über die Schönheit der Liebe	-	André Brodbeck	Mein Buch	Zug	2021	-	-	-	-	-	22 cm	-	-	-	-	-	Band	22,A12	130; 200	-	-	-	-	-	-
Meditationen und Affirmationen : 64 Karten für das spirituelle Erwachen	Meditations and affirmations	Deepak Chopra ; Übersetzung: Sven Beier	Irisiana	München	2021	-	9783424154252; 3424154253	-	(keine Bindung in Behältnis : EUR 15.13 (DE), EUR 18.00 (DE) (freier Preis), EUR 15.00 (AT), EUR 18.00 (AT) (freier Preis), CHF 25.53, CHF 27.50 (freier Preis))	128 ungezählte Seiten	Behältnis 12 x 12 x 4 cm, 308 g	-	-	-	-	-	Karte	22,A12; 21,N15	200; 130	-	-	-	http://deposit.dnb.de/cgi-bin/dokserv?id=c1e0667fea2e4d1b80c809f8c70432a1&prov=M&dok_var=1&dok_ext=htm	-	-
A shaman oracle : 40 mythical soul images from the Indian Southwest	Schamanen-Orakel	Wulfing von Rohr	AGM Urania	Krummwisch	2020	-	9783038194798; 3038194794	Revised English edition	(Broschur in Behältnis : EUR 21.90 (DE), EUR 22.60 (AT))	180 Seiten	11 cm, Behältnis 19 x 12 x 4 cm, 414 g	40 ungezählte Blätter, 1 gefaltetes Blatt	-	-	-	-	Band	22,A12; 20,N52	130; 200	Indianer; Schamanismus; Orakel	-	https://d-nb.info/1223720934/04	-	-	-
Erleuchtung to go : ein Wohlfühlbuch für Nicht-Spirituelle	-	Anna Funck	Topicus	Luxembourg	2020	-	9782496703665	Deutsche Erstveröffentlichung	(Broschur)	259 Seiten	19 cm, 300 g	-	-	-	-	-	Band	22,A12; 20,N22	150; 200	-	-	https://d-nb.info/121057117X/04	-	-	-
Bibelauslegung : Grundlagen - Textanalysen - Praxisfelder	-	Michael Schneider/Michael Rydryck	Vandenhoeck & Ruprecht	Göttingen	2022	-	9783525716991; 3525716990	-	(Broschur : circa EUR 25.00 (DE), circa EUR 26.00 (AT))	288 Seiten	23 cm, 494 g	-	-	-	-	-	Band	22,A12; 19,N09	220	Exegese	220.6	https://d-nb.info/1178573451/04	-	-	-
Der große Betrug und was Jesus wirklich sagte und tat	-	Gerd Lüdemann	zu Klampen	Springe	2022	-	9783866748286; 3866748280	Sechste Auflage	(Broschur : EUR 16.00 (DE), EUR 16.50 (AT), CHF 31.20 (freier Preis))	125 Seiten	19 cm, 129 g	-	-	-	-	-	Band	22,A12; 21,N50	230; 220	Jesus Christus; Geschichtlichkeit; Bibel; Historische Kritik	232.908	https://d-nb.info/1247194728/04	http://www.zuklampen.de/buecher/sachbuch-c-14/religion-c-16/der-grosse-betrugund-was-jesus-wirklich-sagte-und-tat-p-1181569481.html	-	-
Leben in seiner Gegenwart : Inspirationen für Begegnungen mit Gott : Journal	Life in his presence	Sarah Young ; aus dem Englischen von Silvia Lutz und Nicole Schol	Gerth Medien	Asslar	2022	-	9783957347954; 3957347955	1. Auflage	(Festeinband : EUR 18.00 (DE), EUR 18.50 (AT), CHF 27.70 (freier Preis))	224 Seiten	22 cm, 521 g	-	-	-	-	-	Band	22,A12; 21,N47	230; 220	Bibel; Meditation	242.5	-	http://deposit.dnb.de/cgi-bin/dokserv?id=cc0a0e56a77846b9b31f1e4433f7a6de&prov=M&dok_var=1&dok_ext=htm	-	-
Die Propheten der Bibel : Geschichte und Wirkung	-	Reinhard G. Kratz	C.H.Beck	München	2022	-	9783406781902; 340678190X	Originalausgabe	(Broschur : circa EUR 14.95 (DE))	236 Seiten	20 cm, 240 g	-	C.H. Beck Paperback ; 6462	-	-	-	Band	22,A12; 21,N44	220	Bibel; Prophetie	220.15	https://d-nb.info/1244538477/04	http://deposit.dnb.de/cgi-bin/dokserv?id=c5bada089ae94e8382c7680e46fb8686&prov=M&dok_var=1&dok_ext=htm	-	-
Das Matthäusevangelium : in der Schule Jesu	-	Horacio E. Lona	Herder	Freiburg; Basel; Wien	2022	-	9783451392771; 3451392771	-	(Festeinband : circa EUR 18.00 (DE), circa EUR 18.60 (AT), circa CHF 25.90 (freier Preis))	157 Seiten	21 cm, 264 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A12; 21,N42	220	Bibel	226.206	https://d-nb.info/1243010711/04	http://deposit.dnb.de/cgi-bin/dokserv?id=cd7155ef69c049fda279aa10f77e09f2&prov=M&dok_var=1&dok_ext=htm	-	-
Siehe, ich mache alles neu : Schöpfung im Neuen Testament	-	Hans-Georg Gradl	Herder	Freiburg; Basel; Wien	2022	-	9783451391804; 3451391805	-	(Festeinband : EUR 18.00 (DE), EUR 18.60 (AT), CHF 25.90 (freier Preis))	141 Seiten	21 cm, 248 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A12; 21,N42	220; 230	Bibel; Schöpfung	225.04; 231.765	https://d-nb.info/124301007X/04	http://deposit.dnb.de/cgi-bin/dokserv?id=ab3d76697c5244b4bd0ccd3b7e8be9b9&prov=M&dok_var=1&dok_ext=htm	-	-
Christi Thora : die Entstehung des Neuen Testaments im 2. Jahrhundert	-	Markus Vinzent	Herder	Freiburg; Basel; Wien	2022	-	9783451395772; 3451395770	-	(Festeinband : circa EUR 38.00 (DE), circa EUR 39.10 (AT), circa CHF 49.90 (freier Preis))	400 Seiten	24 cm, 726 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A12; 21,N42	220	Bibel; Kanon	225.12	https://d-nb.info/1243007397/04	http://deposit.dnb.de/cgi-bin/dokserv?id=2487a4fd2b714e47bd57d4f7be636619&prov=M&dok_var=1&dok_ext=htm	-	-
