Titel	Werktitel	Verfasser	Verlag	Verlagsort	Erscheinungsjahr	Erscheinungstermin	ISBN	Auflage	Preis	Seiten	Maß	Begleitmaterial	Reihe	Fußnote	Parallele Ausgabe	Hochschulschriftenvermerk	Datenträger	Wochenverzeichnisnummer	DDC-Sachgruppe	Schlagworte	Vollständige DDC-Notation	Inhaltsverzeichnis	Inhaltstext	Links	Desiderat
Dissidenten, Außenseiter und Querulanten : literarische und historische Gestalten in religiösen Kontexten außerhalb des Normativen	-	Andreas Kunz-Lübcke (Hrsg.)	Evangelische Verlagsanstalt	Leipzig	2021	-	9783374069347; 3374069347	-	(Broschur : EUR 78.00 (DE), EUR 80.20 (AT))	212 Seiten	23 cm	-	Veröffentlichungen der Wissenschaftlichen Gesellschaft für Theologie ; Band 65	Aus dem Vorwort: "Dieser Band geht zurück auf eine Tagung der WGTh Projektruppe "Religiöser Radikalismus", die vom 2.-4. März 2020 im evangelischen Tagungszentrum Ebernburg stattgefunden hat."	Erscheint auch als: Online-Ausgabe	-	Band	22,A01; 21,N19	220; 230; 290	Biblische Person; Ausgrenzung; Fundamentalismus; Radikalisierung; Rassismus; Islamische Literatur; Außenseiter; Rabbinische Literatur	220.92	https://d-nb.info/1233029878/04	-	-	-
Deuteronomy in the making : studies in the production of Debarim	-	edited by Diana Edelman, Benedetta Rossi, Kåre Berge, and Philippe Guillaume	De Gruyter	Berlin	2021	-	9783110713053; 3110713055	-	(Festeinband : EUR 99.95 (DE) (freier Preis), EUR 99.95 (AT) (freier Preis))	x, 430 Seiten	24 cm, 756 g	-	Beihefte zur Zeitschrift für die alttestamentliche Wissenschaft ; volume 533	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A01; 21,N16	220	Bibel; Redaktion	222.1506	https://d-nb.info/1231377143/04	-	-	-
Das große Bibel-Geschichtenbuch : 35 Erzählungen von Adam und Eva bis Zachäus : für KiTa, Schule, Familie und Gemeinde	-	Frieder Harz ; mit Illustrationen von Andrea Lienhart	Gütersloher Verlagshaus	Gütersloh	2021	-	9783579071800; 3579071807	1. Auflage	(Festeinband : circa EUR 34.00 (DE), circa EUR 35.00 (AT), circa CHF 45.76, circa CHF 46.90 (freier Preis))	333 Seiten	27 cm, 1447 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A01; 21,N15	K; 220	-	-	https://d-nb.info/1230759476/04	http://deposit.dnb.de/cgi-bin/dokserv?id=7ae13a87f28a4eac878f2cdbdf915afe&prov=M&dok_var=1&dok_ext=htm	-	-
Jesus Christus - Grund und Mitte des Glaubens : exegetische Studien und theologische Aufsätze	-	Hans-Christian Kammler	Evangelische Verlagsanstalt	Leipzig	2021	-	9783374067961; 3374067964	-	(Festeinband : EUR 98.00 (DE), EUR 100.80 (AT))	461 Seiten	24 cm	-	Lutherische Theologie im Gespräch ; Band 2	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A01; 20,N47	230; 220	Christologie; Evangelische Theologie; Bibel; Luther, Martin	232	https://d-nb.info/1221207415/04	-	-	-
Paulus und seine Gemeinden : die Wechselwirkung zwischen Idealbildern und Realitäten in den authentischen Paulusbriefen : Festschrift für Dieter Sänger zum 70. Geburtstag	-	Felix John, Christian Wetz (Hrsg.)	Evangelische Verlagsanstalt	Leipzig	2021	-	9783374067763; 337406776X	-	(Festeinband : EUR 48.00 (DE), EUR 49.40 (AT))	306 Seiten	24 cm	-	Arbeiten zur Bibel und ihrer Geschichte ; Band 66	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A01; 20,N47	220	Bibel; Urchristentum; Exegese	227.06	https://d-nb.info/122120713X/04	-	-	-
Kleine Bibelhelden - Mirjam	-	illustriert von Catherine Groenewald	Francke	Marburg	2021	-	9783963621161; 3963621168	-	(Broschur : EUR 2.50 (DE), EUR 2.60 (AT))	16 ungezählte Seiten	15 cm	-	-	-	-	-	Band	22,A01; 20,N46	K; 220	-	-	-	-	-	-
Kleine Bibelhelden - Samuel	-	illustriert von Catherine Groenewald	Francke	Marburg	2021	-	9783963621796; 3963621796	-	(Broschur : EUR 2.50 (DE), EUR 2.60 (AT))	16 ungezählte Seiten	15 cm	-	-	-	-	-	Band	22,A01; 20,N46	K; 220	-	-	-	-	-	-
Theologie und Kunst unterrichten	-	Volker Küster (ed.)	Evangelische Verlagsanstalt	Leipzig	2021	-	9783374053681; 3374053688	-	(Broschur : EUR 38.00 (DE), EUR 39.10 (AT))	276 Seiten	23 cm	-	ContactZone ; Volume 23	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A01; 18,N46	230; 370; 700	Kunst; Theologie; Evangelische Theologie; Evangelischer Religionsunterricht	261.57	https://d-nb.info/1170903002/04	http://deposit.dnb.de/cgi-bin/dokserv?id=104ef9c3f9c74e3fae7f6aad40f11469&prov=M&dok_var=1&dok_ext=htm	-	-
Auf Fels gebaut : Wie Gott die Piraten besiegte und andere Andachtsgeschichten	-	Joel R. Beeke, Diana Kleyn ; gelesen von Daniel Kopp	Voice of Hope	Reichshof-Mittelagger	2021	-	9783947102020; 394710202X	-	EUR 9.90 (DE), EUR 10.20 (AT), CHF 15.20 (freier Preis)	1 CD	88 g	-	-	-	-	-	Audiodisk	22,A01; 21,N40	K; 230	-	-	-	-	-	-
Plötzlich bei der Kirche : Dialog über Glaubensfragen für Mitarbeitende der Diakonie	-	Alexander Dietz	Evangelische Verlagsanstalt	Leipzig	2021	-	9783374070039; 3374070035	-	(Broschur : EUR 10.00 (DE), EUR 10.30 (AT))	165 Seiten	19 cm	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A01; 21,N36	230; 360	Diakonie; Sozialeinrichtung; Mitarbeiter; Dialog; Glaube; Evangelische Theologie; Theologische Ethik	230.4	https://d-nb.info/1240259980/04	-	-	-
