Titel	Werktitel	Verfasser	Verlag	Verlagsort	Erscheinungsjahr	Erscheinungstermin	ISBN	Auflage	Preis	Seiten	Maß	Begleitmaterial	Reihe	Fußnote	Parallele Ausgabe	Hochschulschriftenvermerk	Datenträger	Wochenverzeichnisnummer	DDC-Sachgruppe	Schlagworte	Vollständige DDC-Notation	Inhaltsverzeichnis	Inhaltstext	Links	Desiderat
Dissidenten, Außenseiter und Querulanten : literarische und historische Gestalten in religiösen Kontexten außerhalb des Normativen	-	Andreas Kunz-Lübcke (Hrsg.)	Evangelische Verlagsanstalt	Leipzig	2021	-	9783374069347; 3374069347	-	(Broschur : EUR 78.00 (DE), EUR 80.20 (AT))	212 Seiten	23 cm	-	Veröffentlichungen der Wissenschaftlichen Gesellschaft für Theologie ; Band 65	Aus dem Vorwort: "Dieser Band geht zurück auf eine Tagung der WGTh Projektruppe "Religiöser Radikalismus", die vom 2.-4. März 2020 im evangelischen Tagungszentrum Ebernburg stattgefunden hat."	Erscheint auch als: Online-Ausgabe	-	Band	22,A01; 21,N19	220; 230; 290	Biblische Person; Ausgrenzung; Fundamentalismus; Radikalisierung; Rassismus; Islamische Literatur; Außenseiter; Rabbinische Literatur	220.92	https://d-nb.info/1233029878/04	-	-	-
Gemeindepädagogische Umbrüche : Peter Lehmann - eine pädagogisch-theologische Biographie	-	Matthias Hahn	Evangelische Verlagsanstalt	Leipzig	2021	-	9783374069248; 337406924X	-	(Broschur : EUR 48.00 (DE), EUR 49.40 (AT))	408 Seiten	23 cm	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A01; 21,N19	230; 370	Lehmann, Peter; Katechetik; Gemeindepädagogik; Evangelische Theologie	268.84092	https://d-nb.info/1233029703/04	-	-	-
Du sollst nicht töten (lassen)? : eine Rekonstruktion der Friedensethik Dietrich Bonhoeffers aus der Perspektive Öffentlicher Theologie in aktueller Absicht	-	Julian Zeyher-Quattlender	Evangelische Verlagsanstalt	Leipzig	2021	-	9783374068845; 3374068847	-	(Broschur : EUR 48.00 (DE), EUR 49.40 (AT))	398 Seiten	23 cm	-	Öffentliche Theologie ; Band 40	-	Erscheint auch als: Online-Ausgabe	Dissertation; Eberhard Karls Universität Tübingen2019	Band	22,A01; 22,H01; 21,N19	230; 320	Bonhoeffer, Dietrich; Friedensethik; Rezeption; Öffentliche Theologie	241.6242092	https://d-nb.info/123302969X/04	-	-	-
Minderheitlich werden : Experiment und Unterscheidung	-	Dietrich Sagert ; im Auftrag des Zentrums für evangelische Gottesdienst- und Predigtkultur	Evangelische Verlagsanstalt	Leipzig	2021	-	9783374069583; 3374069584	-	(Broschur : EUR 14.00 (DE), EUR 14.40 (AT))	126 Seiten	19 cm	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A01; 21,N19	230	Minderheit; Evangelische Kirche; Zukunft; Homiletik; Liturgik; Evangelische Theologie	251; 264.04	https://d-nb.info/1233026208/04	-	-	-
Gottes Wort in Erfurt : protestantische Lebensbilder aus fünf Jahrhunderten	-	herausgegeben von Andreas Fincke und Matthias Rein	Evangelische Verlagsanstalt	Leipzig	2021	-	9783374069514; 3374069517	-	(Festeinband : EUR 38.00 (DE), EUR 39.10 (AT))	235 Seiten	24 cm	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A01; 21,N19	230; 943	Protestant; Historische Persönlichkeit	284.0922432248	https://d-nb.info/1233025937/04	-	-	-
Seelsorge lernen, stärken und reflektieren : das Zentrum für Seelsorge als Schnittstelle von Aus- und Fortbildung, Praxis und Wissenschaft	-	herausgegeben von Annette Haußmann und Sabine Kast-Streib	Evangelische Verlagsanstalt	Leipzig	2021	-	9783374069262; 3374069266	-	(Broschur : EUR 34.00 (DE), EUR 35.00 (AT))	342 Seiten	23 cm	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A01; 21,N19	230	Evangelische Landeskirche in Baden; Seelsorger; Ausbildung; Berufliche Fortbildung	253.0943464	https://d-nb.info/1233025791/04	-	-	-
Anstoß des Kreuzes : kreuzestheologische Aufbrüche im 20. und 21. Jahrhundert	-	herausgegeben von Michael Basse und Christian Neddens	Evangelische Verlagsanstalt	Leipzig	2021	-	9783374068937; 3374068936	-	(Broschur : EUR 48.00 (DE), EUR 49.40 (AT))	312 Seiten	23 cm	-	Lutherische Theologie im Gespräch ; Band 3	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A01; 21,N19	230	Theologia crucis; Evangelische Theologie; Iwand, Hans Joachim	232.4	https://d-nb.info/123302535X/04	-	-	-
Die theologische Entwicklung Bernhard Rothmanns : ein Beitrag zur Reformationsgeschichte Münsters	-	Christian Elmo Wolff	Evangelische Verlagsanstalt	Leipzig	2021	-	9783374067725; 3374067727	-	(Festeinband : EUR 98.00 (DE), EUR 100.80 (AT))	549 Seiten	24 cm	-	Arbeiten zur Kirchen- und Theologiegeschichte ; Band 54	-	Erscheint auch als: Online-Ausgabe	Dissertation; Westfälische Wilhelms-Universität Münster2019	Band	22,A01; 22,H01; 20,N47	230; 943	Rothmann, Bernhard; Theologie; Täufer	230.0443092; 284.3092	https://d-nb.info/1221209841/04	-	-	-
Musik der Menschen und Musik der Engel : Frömmigkeitsgeschichtliche Beiträge zur lutherischen Musikkultur	-	Ernst Koch ; herausgegeben von Stefan Michel und Johannes Schilling	Evangelische Verlagsanstalt	Leipzig	2021	-	9783374067978; 3374067972	-	(Broschur : EUR 38.00 (DE), EUR 39.10 (AT))	231 Seiten	23 cm	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A01; 20,N47	780; 230	Koch, Ernst; Luthertum; Musikleben; Frömmigkeit	781.7141	https://d-nb.info/1221208969/04	-	-	-
Jesus Christus - Grund und Mitte des Glaubens : exegetische Studien und theologische Aufsätze	-	Hans-Christian Kammler	Evangelische Verlagsanstalt	Leipzig	2021	-	9783374067961; 3374067964	-	(Festeinband : EUR 98.00 (DE), EUR 100.80 (AT))	461 Seiten	24 cm	-	Lutherische Theologie im Gespräch ; Band 2	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A01; 20,N47	230; 220	Christologie; Evangelische Theologie; Bibel; Luther, Martin	232	https://d-nb.info/1221207415/04	-	-	-
Innovationen im Sakralbau der Nachkriegsmoderne : die Architektengemeinschaft Albert Dietz und Bernhard Grothe	-	Ingrid Fahrtmann	COD Verlag	Saarbrücken	2019	-	9783945329108; 3945329108	1. Auflage	(Broschur : EUR 79.50 (DE), EUR 81.80 (AT))	266 Seiten, 211 Seiten Tafeln	30 cm	-	-	-	-	Dissertation; Universität Trier2018	Band	22,A01; 22,H01; 19,N48	720; 230	Dietz, Albert; Grothe, Bernhard; Kirchenbau	726.5094342109045; 720.922	https://d-nb.info/1199965561/04	-	-	-
Auf Fels gebaut	Building on the rock series	Joel R. Beeke, Diana Kleyn	Voice of Hope	Reichshof-Mittelagger	2017	-	-	-	-	5 CDs	-	-	-	-	-	-	Audiodisk	22,A01	K; 230	-	-	-	-	-	-
Maǧmūʿi-i istīḍāh-i ḫubrigān wa rahbarān-i ǧumhūrī-i islāmī : Dawrān-i muʿāḍadat wa muʿāwanat : munāsabāt-i Ḫumainī wa Muntaẓirī (tā Sharīwar 1365)	-	Muḥsin Kadīwar	Našr-i Andīšahā-i Nau	Isin, Ālmān	2021	-	9783948894047; 3948894043	Čap-i awwal	(Broschur : EUR 18.00 (DE), EUR 21.00 (AT))	525, xiii Seiten	24 cm, 1170 g	-	-	-	-	-	Band	22,A01; 21,N41	320; 290	-	-	https://d-nb.info/1242813640/04	-	-	-
Über die ästhetische Heilkunst des Menschen : COVID 19 - die globale Seelenentfremdung	-	Elaim Gairo	Verlag Vier Himmelsrichtungen	Reichenwalde	2021	-	9783981834673; 3981834674	1. Auflage	(Halbgewebe : circa EUR 33.00 (DE), circa EUR 34.00 (AT))	88 Seiten	26 cm, 376 g	-	-	-	-	-	Band	22,A01; 21,N29	610; 290	-	-	https://d-nb.info/1237121671/04	-	-	-
Dissidenten, Außenseiter und Querulanten : literarische und historische Gestalten in religiösen Kontexten außerhalb des Normativen	-	Andreas Kunz-Lübcke (Hrsg.)	Evangelische Verlagsanstalt	Leipzig	2021	-	9783374069347; 3374069347	-	(Broschur : EUR 78.00 (DE), EUR 80.20 (AT))	212 Seiten	23 cm	-	Veröffentlichungen der Wissenschaftlichen Gesellschaft für Theologie ; Band 65	Aus dem Vorwort: "Dieser Band geht zurück auf eine Tagung der WGTh Projektruppe "Religiöser Radikalismus", die vom 2.-4. März 2020 im evangelischen Tagungszentrum Ebernburg stattgefunden hat."	Erscheint auch als: Online-Ausgabe	-	Band	22,A01; 21,N19	220; 230; 290	Biblische Person; Ausgrenzung; Fundamentalismus; Radikalisierung; Rassismus; Islamische Literatur; Außenseiter; Rabbinische Literatur	220.92	https://d-nb.info/1233029878/04	-	-	-
Maǧmūʿi-i istīḍāh-i ḫubrigān wa rahbarān-i ǧumhūrī-i islāmī : (1361-1370)	-	-	Našr-i Andīšahā-i Nau	Essen, Germany	2020	-	-	-	-	-	24 cm	-	-	-	-	-	Band	22,A01	320; 290	-	-	-	-	-	-
Über die ästhetische Heilkunst des Menschen	-	Elaim Gairo	Verlag Vier Himmelsrichtungen	Reichenwalde	2018	-	-	-	-	-	26 cm	-	-	-	-	-	Band	22,A01	610; 290	-	-	-	-	-	-
Fälle zum Medizin- und Gesundheitsrecht	-	Andreas Spickhoff/Silvia Deuring	C.F. Müller	Heidelberg	2022	-	9783811487383; 3811487388	-	(Broschur : EUR 29.00 (DE))	XI, 390 Seiten	24 cm, 674 g	-	Falltraining; Jura auf den [Punkt] gebracht	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A01; 21,N35	340; 610	Medizin; Recht; Gesundheitsrecht	344.43041; 344.4304	https://d-nb.info/1239845901/04	http://deposit.dnb.de/cgi-bin/dokserv?id=ec7b938186a54101801875c370081dfa&prov=M&dok_var=1&dok_ext=htm	-	-
23. Speyerer Planungsrechtstage 2021 : gesammelte Vorträge	-	Herausgeber und Schriftleitung: Prof. Dr. Alexander Schink ; Veranstalter: Deutsche Universität für Verwaltungswissenschaften Speyer ; wissenschaftliche Leitung: Prof. Dr. Jan Ziekow	Jehle	Heidelberg	2021	-	-	-	-	Seite 401-444	30 cm	-	Umwelt- und Planungsrecht ; 2021. [...], Sonderheft	-	-	-	Band	22,A01	340	Luftfahrtrecht; Umweltrecht; Planungsrecht	346.43045	https://d-nb.info/1247142620/04	-	-	-
Gut informiert ... planen und bauen im Landkreis Günzburg : Informationen für Bauwillige	Planen und bauen im Landkreis Günzburg	Landkreis Günzburg	mediaprint infoverlag gmbh	Mering	2021	-	-	9. Auflage	-	45 Seiten	30 cm	-	-	-	-	-	Band	22,A01	690; 640; 340	-	-	https://d-nb.info/1234092069/04	-	-	-
Zivilprozessrecht : unter Berücksichtigung der bernischen und zürcherischen Einführungsgesetzgebung	-	Bernhard Berger (Dr. iur., Rechtsanwalt, LL.M.), Andreas Güngerich (Dr. iur., Rechtsanwalt, LL.M.), Christoph Hurni (PD Dr. iur., Bundesrichter), Reto Strittmatter (Dr. iur., Rechtsanwalt)	Stämpfli Verlag	Bern	2021	-	9783727286544	2. Auflage	(Festeinband : ca. EUR 88.10 (DE), ca. sfr 118.00 (freier Pr.))	XXXV, 505 Seiten	24 cm	-	Stämpflis juristische Lehrbücher	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A01	340	Zivilprozessrecht	347.494	https://d-nb.info/1007028491/04	http://deposit.dnb.de/cgi-bin/dokserv?id=3539019&prov=M&dok_var=1&dok_ext=htm	-	-
Friedrich Müller's theory of law : proceedings of the special workshop held at the 29th World Congress of the International Association for Philosophy of Law and Social Philosophy in Lucerne, Switzerland, 2019	-	edited by Natalina Stamile, Nestor Castilho Gomes and Dennis José Almanza Torres	Franz Steiner Verlag	Stuttgart	2021	-	9783515130592; 3515130594	-	(Festeinband : EUR 42.00 (DE), EUR 43.20 (AT))	137 Seiten	25 cm, 383 g	-	Archives for philosophy of law and social philosophy ; 170	"The authors of the essays published here participated in the special workshop "Friedrich Müller's Theory of Law" at the 29th World Congress of the International Association for Philosophy of Law and Social Philosophy (IVR), held in Lucerne, Switzerland on 7-13 Juli 2019." - Introduction	Erscheint auch als: Online-Ausgabe	-	Band	22,A01; 21,N36	340	Rechtstheorie; Müller, Friedrich	340.1	https://d-nb.info/1240329768/04	http://deposit.dnb.de/cgi-bin/dokserv?id=d420174de9334647bab88a17c74719ca&prov=M&dok_var=1&dok_ext=htm	-	-
Prüfungsorientierte Aufgabensammlung Unternehmensrecht : Zivilrecht, Arbeits-, Steuer-, Handwerks- und Gewerberecht	-	Reinhard Ens, Bernd-Michael Hümer, Jörg Knies, Tobias Scheel	Holzmann Medien	Bad Wörishofen	2021	-	9783778315668; 3778315668	4. Auflage	(Broschur : EUR 17.90 (DE), EUR 18.40 (AT))	87 Seiten	30 cm, 280 g	-	Kompetenzen zum Erfolg	-	-	-	Band	22,A01; 21,N32	340	Unternehmensrecht	346.43065076	https://d-nb.info/1238458068/04	-	-	-
Die Digitalisierung der Patientenverfügung im Rettungsdienst : ein denkbarer Lösungsansatz	-	Christian A. Pleser	Peter Lang	Berlin; Bern; Wien	2021	-	9783631853580; 3631853580	-	(Broschur : EUR 54.95 (DE), EUR 56.50 (AT), CHF 64.00 (freier Preis))	299 Seiten	21 cm, 392 g	-	Europäische Hochschulschriften Recht ; Band 6677	-	Erscheint auch als: Online-Ausgabe	Dissertation; Universität Bielefeld2020	Band	22,A01; 22,H01; 21,N27	340; 610	Patientenverfügung; Digitalisierung	344.430412; 344.430419	https://d-nb.info/1236478738/04	http://deposit.dnb.de/cgi-bin/dokserv?id=a34e1e2b003446a3a06d6969c331891f&prov=M&dok_var=1&dok_ext=htm	-	-
Energiesteuern in der Europäischen Union und in den Mitgliedstaaten als Nachhaltigkeitsinstrument : eine Policy-Mix-Analyse unter Beachtung verhaltenswissenschaftlicher Erkenntnisse	-	Catrin Spring	Metropolis-Verlag	Marburg	2021	-	9783731614722; 3731614723	-	(Broschur : EUR 69.80 (DE), EUR 71.80 (AT))	796 Seiten	21 cm	-	Beiträge zur sozialwissenschaftlichen Nachhaltigkeitsforschung ; Band 33	-	-	Dissertation; Brandenburgischen Technischen Universität Cottbus‐Senftenberg2021	Band	22,A01; 22,H01; 21,N24	330; 333.7; 340	Europäische Union; Mitgliedsstaaten; Energiesteuer; Carbon pricing; Effizienzanalyse; Gesetzesfolgenabschätzung; Energieverbrauch; Nachhaltigkeit	336.27833379	https://d-nb.info/1235284565/04	-	-	-
Strafprozessuale Beweisverwertung von privatem Videomaterial am aktuellen Beispiel der Dashcam	-	von Lukas Zeyher	Duncker & Humblot	Berlin	2021	-	9783428183296; 3428183290	-	(Broschur : EUR 79.90 (DE), EUR 82.20 (AT))	226 Seiten	24 cm, 355 g	-	Schriften zum Prozessrecht ; Band 277	-	Erscheint auch als: Online-Ausgabe	Dissertation; Albert-Ludwigs-Universität Freiburg2021	Band	22,A01; 22,H01; 21,N19	340	Strafverfahren; Beweisverwertung; Kraftfahrzeug; Videoaufzeichnung	345.43062	https://d-nb.info/1233147609/04	-	-	-
Interessenausgleich im Vertragsarztrecht : kollektive und individuelle Interessenwahrungsmöglichkeiten der Vertragsärzte	-	von Luise Brunk	Duncker & Humblot	Berlin	2021	-	9783428181681; 3428181689	-	(Broschur : EUR 69.90 (DE), EUR 71.90 (AT))	224 Seiten	24 cm, 345 g	-	Schriften zum Gesundheitsrecht ; Band 63	-	Erscheint auch als: Online-Ausgabe	Dissertation; Albert-Ludwigs-Universität Freiburg2020	Band	22,A01; 22,H01; 21,N19	340; 610	Vertragsarzt; Interessenvertretung; Arbeitskampfrecht	344.430412	https://d-nb.info/1233147471/04	-	-	-
Die besten Steuerstrategien für Immobilieninvestoren : wie du mit Immobilien dein Einkommen steigerst und Steuern sparst	-	Erik Renk & Till Salewski	FBV	München	2021	-	9783959724593; 3959724594	Originalausgabe, 1. Auflage	(Broschur : EUR 25.00 (DE), EUR 25.70 (AT))	251 Seiten	21 cm	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A01; 21,N19	340	Immobilienanlage; Steuerrecht	343.430546; 343.430523	https://d-nb.info/1233134175/04	http://deposit.dnb.de/cgi-bin/dokserv?id=e143b48389d6415c911753c2eadc2ce6&prov=M&dok_var=1&dok_ext=htm	-	-
Regulatorische Steuerung von Märkten am Beispiel des Regelreservemarkts : Normsetzungskompetenz - höherrangige Grenzen - Rechtsschutz	-	von Anna Halbig	Duncker & Humblot	Berlin	2021	-	9783428183418; 342818341X	-	(Broschur : EUR 99.90 (DE), EUR 102.70 (AT))	365 Seiten	24 cm, 550 g	-	Schriften zum deutschen und europäischen Infrastrukturrecht ; Band 14	-	Erscheint auch als: Online-Ausgabe	Dissertation; Julius-Maximilians-Universität Würzburg2020	Band	22,A01; 22,H01; 21,N19	340; 330	Elektrizitätsmarkt; Reserveleistung; Regulierung; Energiewirtschaftsrecht	343.43092	https://d-nb.info/1233027115/04	-	-	-
Arbeitszeugnisse für den öffentlichen Dienst : Grundlagen, Musterzeugnisse, Personalbeurteilung	-	Sonja Schustereit, Jochen Welscher	Haufe Gruppe	Freiburg; München; Stuttgart	2021	-	9783648153567; 3648153560	4. Auflage	(Broschur : EUR 59.95 (DE), EUR 58.83 (AT))	436 Seiten	24 cm	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A01; 21,N19	350; 340	Öffentlicher Dienst; Arbeitszeugnis	351.43	https://d-nb.info/1232840335/04	http://deposit.dnb.de/cgi-bin/dokserv?id=deaff2840a79479e9744a0cf7af476f3&prov=M&dok_var=1&dok_ext=htm	-	-
Haftungsvermeidung in der Unternehmenskrise : Praxiswissen und Taktik für Geschäftsführer und Vorstände	-	Christoph Poertzgen	Springer Gabler	Wiesbaden, Germany	2021	-	9783658341794; 3658341793	2. Auflage	(Broschur : circa EUR 44.99 (DE), circa EUR 46.25 (AT), circa CHF 50.00 (freier Preis), circa EUR 42.05)	XIV, 200 Seiten	24 cm, 374 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A01; 21,N16	340	Unternehmenskrise; Insolvenz; Organhaftung; Vermeidung	346.4306642; 346.43078	https://d-nb.info/123156878X/04	http://deposit.dnb.de/cgi-bin/dokserv?id=857060f67dc047d9805b1f389d2fed88&prov=M&dok_var=1&dok_ext=htm	-	-
Vertrauensschutz bei Erlass, Aufhebung und Änderung von Steuerbescheiden : Verfassungswidrige Steuergesetze, rückwirkende Rechtsprechungsänderungen und rechtswidrige Verwaltungsvorschriften : zur Reformbedürftigkeit des § 176 AO	-	von Dennis Christoph Fuchs	Duncker & Humblot	Berlin	2021	-	9783428182312; 3428182316	-	(Broschur : EUR 69.90 (DE), EUR 71.90 (AT))	190 Seiten	24 cm, 290 g	-	Schriften zum Steuerrecht ; Band 157	-	Erscheint auch als: Online-Ausgabe	Dissertation; Universität Passau2020	Band	22,A01; 22,H01; 21,N15	340; 330	Deutschland; Vertrauensschutz; Steuerbescheid; Steuerverwaltungsakt; Aufhebung; Höchstrichterliche Rechtsprechung; Änderung; Steuerreform	343.43042	https://d-nb.info/1231092831/04	-	-	-
Bondholder Governance nach dem Schuldverschreibungsgesetz : eine Untersuchung der Reichweite der Rechte der Gläubiger bei einer außergerichtlichen Anleiherestrukturierung	-	von Galina Matjuschkin	Duncker & Humblot	Berlin	2021	-	9783428182022; 3428182022	-	(Broschur : EUR 89.90 (DE), EUR 92.50 (AT))	326 Seiten	24 cm, 490 g	-	Untersuchungen über das Spar-, Giro- und Kreditwesen ; Band 220. Abteilung B, Rechtswissenschaft	-	Erscheint auch als: Online-Ausgabe	Dissertation; Universität Heidelberg2020	Band	22,A01; 22,H01; 21,N14	340; 330	Rechtsvergleich; Internationale Wettbewerbsfähigkeit; Anleihe; Restrukturierung; Gläubiger; Willensbildung; Mehrheitsprinzip	346.43092	https://d-nb.info/1230634061/04	-	-	-
Das neue Urheberrecht : UrhG, UrhDaG, VGG	-	Dr. Malek Barudi (Hrsg.) ; Dr. Malek Barudi, M. Jur. (Oxford), Rechtsanwalt, Hamburg [und 9 weitere]	Nomos	Baden-Baden	2021	-	9783848782376; 3848782375	1. Auflage	(Broschur : circa EUR 38.00 (DE))	263 Seiten	23 cm, 401 g	-	Nomos Praxis	-	-	-	Band	22,A01; 21,N14	340	Urheberrecht	346.430482	https://d-nb.info/1230573453/04	http://deposit.dnb.de/cgi-bin/dokserv?id=d62497d3a115454087638e54de9984ba&prov=M&dok_var=1&dok_ext=htm	-	-
Zwischen Individualrechtsschutz und völkerrechtlichen Auslieferungspflichten : Grundrechtsvorbehalt im Auslieferungsverkehr Deutschlands als Mitgliedstaat der EU mit Drittstaaten am Beispiel der USA	-	von Sandra Petry	Duncker & Humblot	Berlin	2021	-	9783428182268; 342818226X	-	(Broschur : EUR 89.90 (DE), EUR 92.50 (AT))	315 Seiten	24 cm, 480 g	-	Kölner kriminalwissenschaftliche Schriften ; Band 75	-	Erscheint auch als: Online-Ausgabe	Dissertation; Universität zu Köln2020	Band	22,A01; 22,H01; 21,N12	340; 320	Beschuldigter; Auslieferung; Vorbehalt; Grundrecht; Menschenrecht; Ordre public	345.43052	https://d-nb.info/1229785523/04	-	-	-
Staatsrecht der Schweizerischen Eidgenossenschaft	-	Pierre Tschannen, Prof. em. für Staats- und Verwaltungsrecht an der Universität Bern	Stämpfli Verlag	Bern	2021	-	9783727289286; 3727289287	5. Auflage	(Festeinband : circa EUR 98.00 (DE), circa EUR 100.80 (AT), circa CHF 112.00 (freier Preis))	LIV, 756 Seiten	24 cm, 1427 g	-	Stämpflis juristische Lehrbücher	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A01; 21,N12	340	Staatsrecht	342.494	https://d-nb.info/1229453571/04	-	-	-
