Titel	Werktitel	Verfasser	Verlag	Verlagsort	Erscheinungsjahr	Erscheinungstermin	ISBN	Auflage	Preis	Seiten	Maß	Begleitmaterial	Reihe	Fußnote	Parallele Ausgabe	Hochschulschriftenvermerk	Datenträger	Wochenverzeichnisnummer	DDC-Sachgruppe	Schlagworte	Vollständige DDC-Notation	Inhaltsverzeichnis	Inhaltstext	Links	Desiderat
Himmlisch genießen : Gutes für Leib und Seele	-	Martina Baur-Schäfer, Ulrike Verwold (Hrsg.) ; mit Fotografien von Sandra Then und Rezepten von Kornelia Kraemer	edition chrismon	Stuttgart	2021	-	9783960382850; 9783438062963	2., überarbeitete Auflage / bearbeitet von Franz Kogler	(Broschur : EUR 18.00 (DE), EUR 18.50 (AT))	143 Seiten	23 x 27 cm	-	-	-	-	-	Band	21,A51; 21,N19	640; 220	-	641.8653; 641.5	https://d-nb.info/1232745936/04	-	-	-
Ein Geschenk des Himmels : meine Kinderbibel	God gave us the bible	Lisa T. Bergren ; Illustrationen von David Hohn ; Deutsch von Malin Georg	Francke	Marburg an der Lahn	2021	-	9783963622106; 3963622105	-	(Festeinband : EUR 14.95 (DE), EUR 15.40 (AT))	159 Seiten	22 cm	-	-	-	-	-	Band	21,A51; 20,N46	K; 220	-	-	https://d-nb.info/122099295X/04	-	-	-
Kunst und Religion zwischen Mittelalter und Barock : von Dante bis Bach	-	Jan Rohls	De Gruyter	Berlin; Boston	2021	-	-	-	-	3 Bände	24 cm	-	-	-	-	-	Band	21,A51	700; 800; 230	Künste; Christentum	700.4823; 261.57	-	-	-	-
Der Dom zu Speyer : weltliche Macht und christlicher Glaube	-	Karl-Markus Ritter	wbg THEISS	Darmstadt	2021	-	9783806241280; 3806241287	-	(Broschur : EUR 25.00 (DE), EUR 25.70 (AT))	224 Seiten	24 cm	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	21,A51; 21,N15	720; 230	-	726.6094343548	https://d-nb.info/1230924434/04	-	-	-
Ich bin dann mal weg : meine Reise auf dem Jakobsweg	-	Hape Kerkeling	MALIK	München	2021	-	9783890296005; 3890296009	-	(Halbgewebe : EUR 20.00 (DE), EUR 20.60 (AT), CHF 26.90 (freier Preis))	364 Seiten	21 cm, 456 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	21,A51; 21,N14	910; 796; 230	Wandern	914.61	https://d-nb.info/123056974X/04	http://deposit.dnb.de/cgi-bin/dokserv?id=1e2574ef576c410583a9f20f94ff506e&prov=M&dok_var=1&dok_ext=htm	-	-
Kunst und Religion zwischen Mittelalter und Barock : Das Zeitalter des Barock	-	-	De Gruyter	Berlin; Boston	2021	-	9783110699111; 3110699117	-	(Festeinband : EUR 99.95 (DE), EUR 99.95 (AT))	XI, 815 Seiten	24 cm, 1346 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	21,A51; 21,N11	700; 800; 230	-	-	https://d-nb.info/1228885052/04	-	-	-
Kunst und Religion zwischen Mittelalter und Barock : Spätmittelalter und Renaissance	-	-	De Gruyter	Berlin; Boston	2021	-	9783110698930; 3110698935	-	(Festeinband : EUR 99.95 (DE), EUR 99.95 (AT))	XI, 619 Seiten	24 cm, 1057 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	21,A51; 21,N11	700; 800; 230	-	-	https://d-nb.info/1228880999/04	-	-	-
Kunst und Religion zwischen Mittelalter und Barock : Reformation und Gegenreformation	-	-	De Gruyter	Berlin; Boston	2021	-	9783110699104; 3110699109	-	(Festeinband : EUR 99.95 (DE), EUR 99.95 (AT))	XI, 710 Seiten	24 cm, 1193 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	21,A51; 21,N11	700; 800; 230	-	-	https://d-nb.info/1228880840/04	-	-	-
Alle Tiere groß und klein : alle Tiernamen auf Deutsch und Englisch	God made me	Bethan James und Krisztina Kállai Nagy	Francke	Marburg/Lahn	2021	-	9783963621093; 3963621095	-	(Festeinband : EUR 9.95 (DE), EUR 10.30 (AT))	20 ungezählte Seiten	20 cm	-	-	-	-	-	Band	21,A51; 20,N46	K; 230	-	-	-	-	-	-
Gott ist mit dir am Abend und am Morgen : Kindergebete	-	mit Illustrationen von Angela Glökler	Herder	Freiburg; Basel; Wien	2021	-	9783451716034; 3451716038	1. Auflage	(Festeinband : circa EUR 10.00 (DE), circa EUR 10.30 (AT), circa CHF 14.50 (freier Preis))	circa 48 Seiten	15 cm, 160 g	-	-	-	-	-	Band	21,A51; 20,N14	K; 230	-	-	-	http://deposit.dnb.de/cgi-bin/dokserv?id=d3e2e9e8a1824e5d859f537201a64cac&prov=M&dok_var=1&dok_ext=htm	-	-
