title|author|issue|DE-640
Fabeln in Stundenbildern|0|7. Aufl.|[]
Portfolio in der Grundschule|Wessel, Sabine|2. Aufl.|[]
Longman elementary dictionary and thesaurus|Kinsella, Kate|1. ed.|[]
Longman elementary dictionary and thesaurus|Adrian-Vallance, Evadne|0|[]
Haïti, mon pays|Rogé|0|[]
Aufbau von Raumorientierungskompetenz in der 5. Klasse Realschule|Frank, Jochen|1. Aufl.|[]
The storm in the barn|Phelan, Matt|1. ed., [Nachdr.]|[]
It's a book|Smith, Lane|Nachdr|[]
Chains|Anderson, Laurie Halse|0|[]
Thinking mathematically|Mason, John|2. ed.|[]
Wie wünschen sich Mädchen und Jungen den Mathematikunterricht?|Bekermann, Katrin|0|[]
Bien dicho!|0|3. ed.|[]
Escucha y aprende|Rodríguez Rodríguez, María|Última ed.|[]
Can I play too?|Willems, Mo|1st ed|[]
PISA 2006 in der Schweiz|Angelone, Domenico|1. Aufl.|[]
Ludwig van Beethoven|Geck, Martin|Überarb. Neuausg., 6. Aufl.|[]
Vertraute Fremde|Taniguchi, Jirō|3. [Aufl.]|[]
Paul Austers Stadt aus Glas|Auster, Paul|2. Aufl.|[]
Textile (R)Evolution|Riedl, Rose-Marie|0|[]
Die Herbst-Werkstatt|0|0|[]
Die Herbst-Werkstatt|0|0|[]
Die Frühlings-Werkstatt|0|0|[]
Die Frühlings-Werkstatt|0|0|[]
Smile|Telgemeier, Raina|1st ed.|[]
The beano book 2011|0|0|[]
Le vocabulaire en classe de langue|Cavalla, Cristelle|[Nachdr.]|[]
Voices|0|1. Aufl.|[]
Voices|0|2. korr. Aufl.|[]
Voices|0|1. Aufl.|[]
Voices|0|2. korr. Aufl.|[]
Voices|0|2., korr. Aufl.|[]
Voices|0|1. Aufl.|[]
Voices|0|1. Aufl.|[]
Voices|0|1. Aufl.|[]
Voices|0|1. Aufl.|[]
Voices|0|1. Aufl.|[]
Voices|0|1. Aufl.|[]
Voices|0|1. Aufl.|[]
The girl who fell from the sky|Durrow, Heidi W.|1. ed.|[]
Stigma|Goffman, Erving|1. Aufl., [20. Nachdr.]|[]
A roadmap of grammar|0|2. Aufl.|[]
The model as muse|Koda, Harold|3. print.|[]
Biblische Redensarten leicht erklärt|Brandenburg, Birgit|5. Aufl.|[]
Understanding patchwriting and unintentional plagiarism by english language learners|Linneman, Talia|0|[]
The complete guide to referencing and avoiding plagiarism|Neville, Colin|2. ed.|[]
Rätselspaß - Englisch ganz leicht|Müller, Reinhard|[Nachdr.]|[]
Method guide|Grieser-Kindel, Christin|0|[]
Lagen & Winkel|Simeonov, Emil|0|[]
Souvenir of Canada|Coupland, Douglas|[Nachdr.]|[]
The children's Bible in 365 stories|Batchelor, Mary|2. ed., [repr.]|[]
Sociolinguistics|Spolsky, Bernard|[Nachdr.]|[]
"""Keiner blickt dir hinter das Gesicht"""|Hanuschek, Sven|2. Aufl.|[]
Bionik|Zeuch, Martin|[Nachdr.]|[]
Weitere Methoden des lebendigen Lernens|Arnold, Rolf|3. Aufl.|[]
Methoden des lebendigen Lernens|Arnold, Rolf|5. Aufl.|[]
Kompaktkurs Zeichnen|Brügel, Eberhard|0|[]
Du hast angefangen! Nein, du!|McKee, David|23. Aufl.|[]
Speglingar i den långa sjön|Söderhäll, Bengt|0|[]
Die Geheimnisse erfolgreicher Websites|Sauldie, Sanjay|0|[]
"""Faszination Brot"""|Siegwart, Dominik|0|[]
Arbeitsbuch Feinschnittsäge|Nelson, John A.|2. Aufl.|[]
Schulbeweger. Der Kurs|Garschagen, Julia|0|[]
History in practice|Jordanova, Ludmilla J.|2. ed., repr.|[]
Revisiting discovery and justification|Schickore, Jutta|0|[]
Lernfortschrittsdiagnostik Lesen|Walter, Jürgen|0|[]
Blockhäuser und Hütten selbst gebaut|Håkansson, Sven-Gunnar|Dt. Ausg., 5. Aufl.|[]
Essential maths|0|1. publ.|[]
Der Regenbogenfisch entdeckt die Tiefsee|Pfister, Marcus|2. Aufl.|[]
Bagger, Kräne & Co|Skarman, Erik|0|[]
MATHEMATICA-Paletten als Lern- und Experimentiertools im mathematisch-naturwissenschaftlichen Unterricht|Dominik, Alfred Othmar|0|[]
Mathetiger|0|[Neubearb.], [Jahrszeiten-Hefte], 2. Aufl.|[]
Mathetiger|0|[Neubearb.], [Jahrszeiten-Hefte], 2. Aufl.|[]
Mathetiger|0|[Neubearb.], [Jahrszeiten-Hefte], 2. Aufl.|[]
Konzeptionserstellung für einen Verein für Menschen mit geistiger Behinderung|Schöpperle, Felix|0|[]
Emotionen, Lernen und Gedächtnis im Lebensalltag|Löffler, Simone N.|0|[]
Eine universelle Kompositionslehre|Becker, Michael|1. Aufl.|[]
Integriertes Bildungs(system)design|Shkonda, Anna|1. Aufl.|[]
Maths on target|0|1. publ., repr.|[]
Wie der Tiger zählen lernt|Janosch|Neu Arrangiert, 1. Aufl.|[]
Peter Gysi|Gysi, Peter|0|[]
Let's go|0|1. Aufl., [Nachdr.]|[]
WeihnachtsHits|Horn, Reinhard|5. Aufl.|[]
Märchen, Sagen, Epen und Fabeln|Heinrich, Hans|3. Auflage|[]
Die dampfenden Hälse der Pferde im Turm von Babel|Fühmann, Franz|4. Aufl. der Neuausg., insgesamt 10. Aufl.|[]
Erziehungswissenschaftliche Gedankenspiele|Hartge, Reimar|0|[]
Teacher competencies and educational goals|Peklaj, Cirila|0|[]
The curious incident of the dog in the night-time|Haddon, Mark|0|[]
Takt in modern education|Suzuki, Shōko|0|[]
Multiliteracy centers|Sheridan, David M.|0|[]
Handbook of interpersonal communication|Antos, Gerd|0|[]
Learning to die in Miami|Eire, Carlos M. N.|0|[]
Creating writers|Carter, James|revised and updated ed.|[]
The black album|Kureishi, Hanif|0|[]
Einstern|0|[Neubearb.], 1. Aufl., 1. Dr.|[]
Einstern|0|[Neubearb.], 1. Aufl., 1. Dr.|[]
Mathe-Stars|0|1|[]
Mathe-Stars|0|1. Aufl., [Nachdr.]|[]
Mathe-Stars|0|1. Aufl.|[]
Australia|Berthelmann, Rainer|0|[]
Gott und die Welt|Sies, Gabriele|0|[]
Diary of a wimpy kid|Kinney, Jeff|reissued|[]
Praxis und Methoden für die sozialpädagogische Erstausbildung|Finkenzeller, Anita|1. Aufl.|[]
Kinderängste bewältigen|Armbrust, Joachim|1. Aufl.|[]
Englisch-Stars|0|1. Aufl.|[]
Englisch-Stars|0|1. Aufl., [Nachdr.]|[]
Schlüssel zum erfolgreichen Lernen|Heinrich, Horst J.|2. Aufl.|[]
Zum Arbeitsunterricht im Herbartianismus|Henkel, Katrin|0|[]
Instrumente|Gronenberg, Cathrin|0|[]
SchülerInnen lösen ihre Konflikte|Edling, Lars|2. Aufl.|[]
Geschichte der Photographie von 1839 bis heute|Mulligan, Therese|Originalausg.|[]
Qu'apprend-on à l'école élémentaire ?|0|0|[]
Spiegelwelten|Xue, Lin|0|[]
Die Sprach-Abenteuer der kleinen Hexe|Schönrade, Silke|0|[]
Ghosts of no child left behind|Carris, Joanne M.|0|[]
Young-Jae Lee, Formen aus der Erde, Forms from the earth|Firmenich, Andrea|0|[]
Theatralität online!|Bonczek, Frank|0|[]
Feuer, Wasser, Erde, Luft|Böhme, Gernot|2. Aufl. (in der BsR), unveränd. Nachdr.|[]
Wie schreibe ich eine Kurzgeschichte?|Kühn, Annika|0|[]
Athener Diskurs und Assoziationen zur Individualpädagogik|Buchkremer, Hansjosef|0|[]
The timespace of human activity|Schatzki, Theodore R.|0|[]
Bildungsstandards für die Grundschule: Mathematik konkret|Walther, Gerd|4. Aufl.|[]
Lernspiele im Mathematikunterricht|Bobrowski, Susanne|5. Aufl.|[]
Qualitätsentwicklung in der Kindertagespflege|Hinke-Ruhnau, Jutta|1. Aufl.|[]
Mathe-Stars|0|0|[]
Toolkits, translation devices and conceptual accounts|Singh, Parlo|0|[]
Mathe für kleine Asse|0|1. Aufl., 5. Dr.|[]
Mathe für kleine Asse|Käpnick, Friedhelm|1. Aufl., 6. Dr.|[]
Super M|0|1. Aufl., 2. Dr.|[]
Super M|0|1. Aufl., 2. Dr.|[]
Super M|0|1. Aufl., 2. Dr.|[]
Draußen vor der Tür|Borchert, Wolfgang|92. Aufl.|[]
Einstern|0|[Neubearb.], 1. Aufl., 1. Druck|[]
Einstern|0|[Neubearb.], 1. Aufl., 1. Druck|[]
Einstern|0|[Neubearb.], 1. Aufl., 1. Druck|[]
Einstern|0|[Neubearb.], 1. Aufl., 1. Druck|[]
Dracula|Stoker, Bram|Vollst. Ausg., 1. Aufl.|[]
Von Erlaucht bis Spektabilis|Krabs, Otto|Orig.-Ausg., unveränd. Nachdr., 3. Aufl.|[]
Anxiety in Schools|Cassady, Jerrell C.|0|[]
Wie weiter mit der biologisch-dynamischen Forschung?|Fuchs, Nikolai|0|[]
Was ist biologisch-dynamische Landwirtschaft?|Fuchs, Nikolai|0|[]
Stärken entdecken - erfassen - entwickeln|Eisenbart, Urs|1. Aufl.|[]
Eee-pcschool|Bailicz, Ilse|0|[]
Optik|Wiesner, Hartmut|0|[]
New highlight|0|1. Aufl., 1 Dr.|[]
English fiction for advanced students|Newbrook, Nigel|0|[]
Live from London!|0|0|[]
Lernen an Stationen in der Sekundarstufe I|Rouse, Margitta|Neue Ausg., 1. Aufl.|[]
Lernen an Stationen in der Sekundarstufe I|Rouse, Margitta|Neue Ausg.|[]
Jeans of the Old West|Harris, Michael Allen|0|[]
Das grosse GU Kochbuch Kochen für Kinder|Cramm, Dagmar von|8. Aufl.|[]
Wie viel Bindung ist nötig?|Höfer, Sandra|0|[]
Training Englisch|Bremicker, Monika|2. überarb. und aktual. Aufl.|[]
Otto Dix|Dix, Otto|0|[]
Training Englisch|Bremicker, Monika|0|[]
Originalprüfungen Englisch|Sieber, Christina|2. überarb. und aktual. Aufl.|[]
Policy and research in education|Malott, Curry|0|[]
Phonologische Bewusstheit|Bühler, Daniela|0|[]
Aufmerksamkeits- und Hyperaktivitätsprobleme|Arndt, Lea|0|[]
Planung in der elementarpädagogischen Arbeit|Barleben, Maren|0|[]
Ein sozialpädagogischer Blick auf die  Kooperation von Schule und Jugendhilfe|Buntenbach, Julia|0|[]
Selbstkonzept von jungen Erwachsenen mit problematischen Konsumverhalten von THC und Partydrogen|Friebe, Isabell|0|[]
The jungle|Sinclair, Upton|0|[]
Educational PowerPoint presentations|Pătruţ, Monica|0|[]
Anerkennungsprobleme in Prozessen der erziehungswissenschaftlichen Theoriebildung|Halder, Valentin|0|[]
Vom Team zum Netz? Oder: zwischen Heimatlosigkeit und Zugehörigkeit.|Retterath-Knorr, Lisa|0|[]
Selbstevaluation als Hilfe zur Selbsthilfe|Schillmöller, Carmen|0|[]
Pferdegestützte Persönlichkeitsbildung|Stempel, Anna Elena|0|[]
Grundkurs Philosophie|Detel, Wolfgang|Durchges. Ausg. 2008, [Nachdr.]|[]
Der hörende Mensch und die Wirklichkeit der Musik|Husemann, Armin Johannes|1., Auflage|[]
Handbuch des therapeutischen Erzählens|Hammel, Stefan|2., durchges. Aufl.|[]
Erzähl mal was!|Claussen, Claus|4. Aufl.|[]
Aufmerksamkeitsfunktionen und ihre Entwicklung bei Vorschul- und Grundschulkindern|Sobeh, Jamal|1. Aufl.|[]
Praxisbuch Kunst im Kindergarten|Wagner, Kira|1. Aufl.|[]
Spielend Lernen|Diener, Holger|0|[]
Brigitte-Diät - Abnehmen mit Lieblingsgerichten|Ort-Gottwald, Anna|0|[]
Krippenkinder in Aktion|Schwarz, Horst|0|[]
Aachener Programm zur frühen Sprachförderung|Grosse, Susanne|1. Aufl.|[]
Rudolf Steiner|Lindenberg, Christoph|1. Aufl. der durchges. Neuausg.|[]
The science of climate change|Paul, Goutam|0|[]
La  Bible|0|11e éd|[]
Portobello Road|0|0|[]
Camden Town|0|0|[]
Quilten|Doughty, Kathy|0|[]
Montessori-Pädagogik im Licht der Neurobiologie|Thonen-Alj, Sabrina|0|[]
Haushalt|Hügel, Brigitta|0|[]
Familien-Zusammenhalt(en)|Berg, Insoo Kim|9. Aufl.|[]
Tierproduktion und Klimawandel|Schlatzer, Martin|0|[]
Vogelhäuschen|Gabler, Eberhard|3. Aufl., Neuausg.|[]
Camden Town|0|0|[]
Das Arbeitskonzept von Elsa Gindler (1885 - 1961) dargestellt im Rahmen der Gymnastik der Reformpädagogik|Arps-Aubert, Edith|0|[]
Meine wundervolle Welt der Mode|Chakrabarti, Nina|0|[]
Systemic person-oriented study of child development in early primary school|Toomela, Aaro|0|[]
Vierundzwanzig Türen|Modick, Klaus|1. Aufl.|[]
Pierre Cardin|Hesse, Jean-Pascal|0|[]
Begegnungsdidaktik|Daumüller, Markus|0|[]
Style diaries|Werle, Simone|0|[]
Sprachfördergeschichten für den Kindergarten|Hoffschildt, Christiane|Sonderausg.|[]
Spuren und Fährten unserer Tiere|Lang, Angelika|9., durchges. Aufl.|[]
Vanillin - Historie und Schulrelevanz|Kuhse, Björn Bernhard|1. Aufl.|[]
Fragen, die wir unseren Eltern stellen sollten (solange sie noch da sind)|Fischer, Marc|1. Aufl.|[]
Lieblingssachen für Kinder|Holdack, Laura|2. Aufl.|[]
Contemporary Canadian short stories|Atwood, Margaret|bibliogr. erg. Ausg. 2002, [Nachdr.]|[]
Oskar Werner|Dachs, Robert|1. Aufl.|[]
Schulpolitische Überlegungen für das 21. Jahrhundert|Max, Klemens|0|[]
Mahlzeit, Kinder!|Schürmann-Mock, Iris|4. Auflage in kompletter Überarbeitung|[]
Die Fische von Berlin|Hummel, Eleonora|[Nachdr.]|[]
Perspektivenvielfalt beim Lernen lernen im europäischen Kontext für Multikultur, Mehrsprachigkeit & Migrationsproblematik|Becker, Werner|0|[]
Be strong, my Abela|Doherty, Berlie|1. Aufl.|[]
Was ist Anthroposophie?|Heisterkamp, Jens|3. Aufl.|[]
Google Picasa|Walter, Björn|1. Aufl.|[]
Narzißmus|Mugerauer, Roland|2.,, unveränd. Aufl.|[]
"""Deutsche Mutter, bist du bereit ..."""|Schmitz-Köster, Dorothee|1. Aufl.|[]
Looking at movies|Barsam, Richard M.|3. ed.|[]
Implementing the lexical approach|Lewis, Michael|[Nachdr.]|[]
La petite marchande de prose|Pennac, Daniel|0|[]
La France occupée et la Résistance|Bories-Sawala, Helga|2. Dr.|[]
The Hollywood curriculum|Dalton, Mary M.|2nd rev. ed.|[]
fraMediale|Knaus, Thomas|0|[]
Ritual im Wandel|Lichtinger, Ulrike|0|[]
Lustige Lyrik|Fröhlich, Harry|0|[]
Poetry and childhood|Styles, Morag|0|[]
Deutsche Balladen|Laufhütte, Hartmut|Durchges. Ausg. 2000, [Nachdr.]|[]
Theoretisch - didaktische Überlegungen zur Fundierung des fächerübergreifenden Unterrichts als ein vernetztes Unterrichtskonzept|Zapletal, Ursula|1. Aufl.|[]
Die verborgenen Wirkungen der Sprache im Kindergarten|Martens, Martin Georg|1. Aufl.|[]
Der engagierte Lehrer und seine Feinde|Glattauer, Nikolaus|0|[]
Rückmeldungen nach Vergleichsarbeiten im Kontext des schulischen Qualitätsmanagements|Mueller, Andreas|0|[]
Von Markt & Metzger|Cramm, Dagmar von|0|[]
Dicksein|Raasch, Josefine|0|[]
Lebensqualität für Kinder und andere Menschen|Wild, Rebeca|4. Aufl.|[]
Finanzielle Allgemeinbildung Jugendlicher|Lackmann, Jürgen|1. Aufl.|[]
Die Entwicklung der Schulklasse als Gruppe hin zur Klassengemeinschaft|Pilz, Mario|2. Aufl.|[]
Vom kleinen Maulwurf, der wissen wollte, wer ihm auf den Kopf gemacht hat|Holzwarth, Werner|40. Aufl.|[]
Solange ich atme, hoffe ich|Bauer-Seitz, Vera|4. Aufl.|[]
Vogelfedern|Bezzel, Einhard|Neuausg., 3., durchges. Aufl.|[]
Researching IT in education|McDougall, Anne|0|[]
Using analytical frameworks for classroom research|Rodrigues, Susan|0|[]
Vertretungsstunden Englisch|Boller, Jasmin|Dr. A 1|[]
Literaturwerkstatt: Kirsten Boie|Hanneforth, Alexandra|0|[]
Bildung? Brauchen wir nicht, wir haben Abitur!|Reif, Franz-Gerhard|0|[]
Karl|Sahner, Paul|4. Aufl.|[]
GHS - Hilfe beim Einstufen und Kennzeichnen|Roth, Lutz|0|[]
Ganz zwanglos?|Oelkers, Carmen|1. Aufl.|[]
Identität und Lebenszyklus|Erikson, Erik H.|1. Aufl., [Nachdr.]|[]
Einführung in die griechische und römische Religion|Muth, Robert|2., durchges. und  erw. Aufl., Sonderausg.|[]
Handyhaiku|Bendel, Oliver|0|[]
Mit Kindern im Bienengarten|Kutsch, Irmgard|1. Aufl.|[]
Heilige Vergänglichkeit|Marti, Kurt|0|[]
Die Wurzel des Lebens|Gandillot, Clémence|0|[]
Engaging environmental education|Stevenson, Robert B. K.|0|[]
What the ladybird heard|Donaldson, Julia|0|[]
Toms Abenteuer|Warsow, Andreas|1. Aufl.|[]
Wir Kinder vom Bahnhof Zoo|F., Christiane|0|[]
Ce que parler veut dire|Bourdieu, Pierre|0|[]
Unterricht im Kämpfen|Staeglich, Timm|0|[]
Stichwort Schule: trotz Schule lernen!|Birkenbihl, Vera F.|19. Aufl., 11. Aufl. dieser Ausg.|[]
Organisationskulturen in Kinder- und Jugendhilfe|Thomas, Severine|0|[]
Christian Ludwig Attersee|Gregori, Daniela|0|[]
ADHS|Maier, Elena|0|[]
"""Ich, meine Freunde, mein Leben"""|Bindels Rachel, Sanem|0|[]
Akkulturationsprozesse gestalten|Filimonova, Natalia|0|[]
Bedeutung von Social Networks für die Identitätsbildung im Jugendalter|Köhler, Benjamin|0|[]
ADHS|Reerink, Charlotte|0|[]
Qualifizierung für neuere Aufgaben in der Elementarpädagogik|Petit Raoul, Kayl|0|[]
Biowissenschaften und Pädagogik|Mennicke, Annette|0|[]
Gewalt an der Schule|Kummer, Elke|0|[]
Der Misserfolg von Kindern beim Schuleintritt|Kruijer, Nina|0|[]
Cybermobbing|Impera, Denise|0|[]
Bildungsverläufe von Jurastudenten aus habitustheoretischer Sicht|Bischoff, Stefanie|0|[]
Nutzerorientierung in der offenen Kinder- und Jugendarbeit|Anderer, Iris|0|[]
Grüne Wände selbst gestalten|Groult, Jean-Michel|0|[]
Leitlinien der Waldorfpädagogik für die Kindheit von der Geburt bis zum dritten Lebensjahr|Patzlaff, Rainer|1. Auflage|[]
Die Evolution geht weiter|Sandvoss, Ernst R.|0|[]
Pedagogical Content Knowledge (PCK) von Lehrkräften im deutschen Chemieunterricht|Bindernagel, Janina A.|1. Aufl.|[]
Das Vorstellungsgespräch|Kratz, Hans-Jürgen|6., aktualiesierte Aufl.|[]
Poetry tREnD|Zank, Aprilia|0|[]
"Die ""Dramaturgie"" im Klassenzimmer"|Mori, Midori|0|[]
Gehirnjogging Englisch|Crossley, Nicola|1. Aufl.|[]
Neue ästhetische Wege an Jugendtheatern in Deutschland|Panýr, Raphaela|0|[]
Besonders begabte Kinder individuell fördern|0|1. Aufl.|[]
Hier in den Bergen|Mitgutsch, Ali|[Nachdr.]|[]
"Tausend Mal ""warum""? Verbesserung der Bildungsqualität in vorschulischen Einrichtungen"|Beckmann, Klaus J.|0|[]
Rollenspiele als Kulturgut?|Zulehner, Reinhard|0|[]
Qualitative research methods in education|0|1. publ.|[]
Lernen und weiterleben|Ruedin, Monique|0|[]
ADHS durch Umweltgifte?|Sauerbrey, Ulf|0|[]
Das große Tafelwerk|Erbrecht, Rüdiger|1. Aufl., 13. Dr.|[]
Putting writing research into practice|Troia, Gary A.|0|[]
Mit Klara und den Mäusen die Welt entdecken|Biermann, Ingrid|0|[]
Life|Holmes, Martha|0|[]
Mathematische Kompetenzen entwickeln und erfassen|Herget, Wilfried|0|[]
Heilpädagogisches Reiten als Entwicklungsförderung für Kinder mit psychomotorischen Auffälligkeiten|Horstmann, Melanie|0|[]
Schwimmen für Kinder|Ahrendt, Lilli|1. Aufl.|[]
TIMSS 2007|Suchan, Birgit|1. Aufl.|[]
Selbstständigkeit durch Selbsttätigkeit|Herker, Susanne|0|[]
Kaufen macht glücklich!?|Kirchschlager-Fassler, Petra|0|[]
Systemisches E-Learning|Glanninger, Peter|0|[]
King Richard III|Shakespeare, William|Bibliograph. erg. Ausg. 2010|[]
Kopf hoch, Fledermaus!|Willis, Jeanne|3. Aufl.|[]
Trockene Hosen fangen keine Fische|Krohn, Axel|Orig.-Ausg.|[]
Der große National Geographic Photoguide|Burian, Peter K.|Dt. Ausg., 7. Aufl.|[]
Diagnose MS|Zaruba, Barbara|4. Aufl.|[]
New pathways in the professional development of teachers|Janík, Tomáš|1., Aufl.|[]
Das neue Fahrrad-Reparaturbuch|Smolik, Christian|9., überarb. Aufl.|[]
Electronic portfolios and student success|Chen, Helen L.|0|[]
Ethnography|Hammersley, Martyn|3. ed., reprinted|[]
Mit Pinsel, Farbe, Schere und Papier|Mühlenberg, Gisela|1. [Aufl.]|[]
Internet ABC|Appelhoff, Mechthild|0|[]
Laute spüren - Reime rühren|Monschein, Maria|1. Aufl.|[]
Bilderbuch-Illustration|Haas, Bärbel|1. Aufl.|[]
Die Kunst des Zeichnens - Menschen|Zemme, Verena|1. Aufl.|[]
Tyrannenkinder|Flessenkemper, Gabriele|Überarb. Neuausg.|[]
Born in the Bronx|Kugelberg, Johan|1. Aufl.|[]
ADHS ... Danke für die Gabe|Halbig, Petra|1. Auflage|[]
Das Matriarchat|Göttner-Abendroth, Heide|4. Auflage|[]
Tranquilla Trampeltreu|Ende, Michael|[Nachdr.]|[]
Erlebnis Musik|Schaub, Stefan|Vom Autor überarb. gemeinschaftliche Ausg., 7. Aufl.|[]
Konzeptoptimierung eines alkoholpräventiven peer-Projektes anhand einer Evaluationsstudie|Kostrzewa, Regina|0|[]
Lebenslanges Lernen - freudvoll und integral|Michaelis, Daniela|0|[]
Education for sustainable development und didaktische Gestaltungsansätze in der Berufsbildung|Bünning, Frank|0|[]
Gib dem Hass keine Chance - Neo-Nazis enttarnen!|Burckhardt, Klaus J.|0|[]
Rätsel für den Geschichtsunterricht|Höhn, Elisabeth|1. Aufl.|[]
Tom Sawyers Abenteuer|Twain, Mark|1. Aufl.|[]
Huckleberry Finns Abenteuer|Twain, Mark|1. Aufl.|[]
Bildungskultur und Soziale Arbeit|Bliemetsrieder, Sandro|0|[]
Sexualität|Fiedler, Peter|0|[]
Human geography|Pretes, Michael|5. ed.|[]
Human geography|Knox, Paul L.|International ed., 5th ed.|[]
Jugendliche am Absaufen - Jugendhilfe am Abtauchen?... und es gibt sie doch: Alkoholprävention!|Kammerer, Bernd|0|[]
Mit Kindern über Liebe und Sexualität sprechen|Berman, Laura|0|[]
Diagnostic measurement|Rupp, André A.|0|[]
Erzählen und Entdecken|Fastenmeier, Catharina|0|[]
Die Freibeuterstrategie|Bach, James Marcus|0|[]
Bildungsreformen nach PISA|Raidt, Tabea|0|[]
Learning to teach geography in the secondary school|Lambert, David|2. ed.|[]
Kinderwerkstatt Zauberkräuter|Frommherz, Andrea|Vollst. überarb. Neuausg., 7. Aufl.|[]
Hugo Gaudig|Prüfer, Sebastian|1. Aufl.|[]
Eurythmie als menschenbildende Kraft|Bardt, Sylvia|Neuaus. (2., überarb. Aufl.)|[]
Authentizität des Erlebnisses|Deppner, Martin Roman|0|[]
A new approach to ecological education|Judson, Gillian|0|[]
Grundkurs PowerPoint|Strauf, Heinz|1. Aufl.|[]
Contemporary theories of learning|Illeris, Knud|Reprint.|[]
Media education goes to school|Butler, Allison|0|[]
10 Jahre alt|Bolz, Martin|0|[]
Fernunterrichtsschutzgesetz|Hirschmann, Claudine|0|[]
Bloggen und Twittern ganz einfach|Prinz, ...|Orig.-Ausg.|[]
Übergewicht und Adipositas Jugendlicher im Kontext von mangelndem kulturellen und sozialen Kapital|Schumacher, Elisabeth|0|[]
John Dalton 1766 - 1844|Jönssen, János|0|[]
Humphry Davy 1778 - 1829|Schönhoff, Fabian|0|[]
Die nationalpolitischen Erziehungsanstalten (NAPOLAs) als Beleg für widersprüchliche NS-Erziehungskonzeptionen im Dritten Reich|Sardina, Alexander-Martin|Gekürzte Buchausg.|[]
Antoine Lavoisier 1743 - 1794|Bünte, Christopher|0|[]
"Heute von ""Sünde"" sprechen, nicht sprechen?"|Heyen, Heye|0|[]
The future of multi-ethnic Britain|Parekh, Bhikhu C.|[Reprint]|[]
Verstärkungslernen|Hewig, Johannes|0|[]
Wie Sie die Zusammenarbeit mit Eltern professionell gestalten|Fialka, Viva|0|[]
Mama, Papa oder Krippe?|Herman, Eva|0|[]
Aus Erziehung wird Beziehung|Juul, Jesper|Orig.-Ausg., 8. Aufl.|[]
Gedichte|Schiller, Friedrich|[Bibliogr. erg. Ausg. 2010]|[]
Kindeswohl und Kindeswille in der Jugendhilfe|Kotthaus, Jochem|0|[]
Alice im Hungerland|Hornbacher, Marya|Neuausg., 1. Aufl.|[]
Kinder fantasievoll schminken|Reiche, René|0|[]
Bei uns im Dorf|Mitgutsch, Ali|[Nachdr.]|[]
Uni brennt|Heißenberger, Stefan|0|[]
Räume im Dazwischen: Lernen mit Kunst und Kultur|Bischoff, Johann|0|[]
Brainwalking|Jasper, Bettina M.|1. Aufl.|[]
Sehr gut kochen|Kaftan, Vera|0|[]
Frederick|0|0|[]
Willkommen zurück, Opa!|Obrecht, Bettina|0|[]
Gut leben mit wenig Geld|Nöllke, Claudia|1. Auflage|[]
Podium und Pampers|Bender, Christiane|1. Aufl.|[]
Mit Pflanzen färben - ganz natürlich|Jentschura, Eva|1. Aufl.|[]
Eltern an die Macht!|Unverzagt, Gerlinde|0|[]
Dreimal hab ich sie im Leibe|Beltle, Erika|0|[]
Krieg und Frieden|Tolstoj, Lev Nikolaevič|0|[]
Die ganze Welt in einem Satz|Boëtius, Henning|0|[]
Facing the center|Denny, Harry C.|0|[]
Der Bewegungsbegriff in der neueren Geometrie und seine Adaption im elementaren Geometrieunterricht|Henke, Jan|1. Aufl.|[]
Schülerlabor & Co.|Huck, Jana|0|[]
Trois femmes puissantes|NDiaye, Marie|[Réimpr.]|[]
So geht's noch besser|0|1. Aufl.|[]
Das Bildnis des Dorian Gray|Wilde, Oscar|0|[]
Spielsachen aus Holz|Schmitt, Gudrun|1. Aufl.|[]
Fachkonferenzen für Fortgeschrittene|Buhren, Claus G.|0|[]
Lernfeld Kunst|Cieslik-Eichert, Andreas|1. Aufl.|[]
Grundwissen Entwicklung und Gesundheit|Drude, Sonja|1., Auflage|[]
Basiswissen Natur- und Umweltpädagogik für die sozialpädagogische Erstausbildung|Österreicher, Herbert|1. Aufl.|[]
Basiswissen Erzieherische Verhaltensweisen|Dieterich, Jörg|1. Aufl.|[]
Ruhe-Inseln für ErzieherInnen|Salbert, Ursula|1. Aufl.|[]
Konservieren|Gans, Heinz K.|Sonderausg.|[]
Schwarzweiß-Fotografie|Freeman, Michael|0|[]
Auf dem Lande|Mitgutsch, Ali|[Nachdr.]|[]
So geht's noch besser|0|1. Aufl.|[]
Frühling|Schlüngel, Marco|1. Aufl.|[]
Diderot, le génie débraillé|Chauveau, Sophie|0|[]
Das Vorstellungsgespräch|Kleine, Julia|0|[]
Sommerzeit mit Klara und den Mäusen|Biermann, Ingrid|1. Aufl. der Neuausg., (3. Gesamtaufl.)|[]
Das Kindergartenspielebuch|Wessel, Mechthild|0|[]
Mut-mach-Spiele für Kita, Hort und Schule|Wilmes-Mielenhausen, Brigitte|1. Aufl.|[]
Der Räuber Hotzenplotz|Preußler, Otfried|[Nachdr.]|[]
Jungs fragen - Mädchen antworten|Scharnigg, Max|1. Aufl.|[]
Mädchen fragen - Jungs anworten|Scharnigg, Max|1. Aufl.|[]
Venedig|Weiss, Walter M.|5. (14.), aktual. Aufl.|[]
"""Hanging in with kids"" in tough times"|Smyth, John|0|[]
Finding freedom in the classroom|Hinchey, Patricia H.|Revised ed.|[]
